:Product: Daily Solar Data         1995_DSD.txt
:Issued: 0225 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                        1995 Daily Solar Data

                          Sunspot       Stanford GOES8
           Radio  SESC      Area          Solar  X-ray   ------- Flares --------  
           Flux  Sunspot   10E-6    New    Mean   Bkgd    X-ray       Optical     
   Date   10.7cm  Number   Hemis. Regions Field   Flux   C  M  X   Not Available  
01 Jan 95   75       0         0     0       *    A1.6   0  0  0
02 Jan 95   77      11        10     1       *    A2.2   0  0  0
03 Jan 95   77      24        30     1       *    B1.0   1  0  0
04 Jan 95   77      36        30     2       *    A4.5   1  0  0
05 Jan 95   76      25        30     0       *    A4.5   0  0  0
06 Jan 95   74      25        20     0       *    A3.2   0  0  0
07 Jan 95   75      11         0     0       *    A2.6   0  0  0
08 Jan 95   74      12         0     0       *    A2.3   0  0  0
09 Jan 95   74       0         0     0       *    A2.1   0  0  0
10 Jan 95   73      13        10     1       *    A2.0   0  0  0
11 Jan 95   75      12         0     0     -26    A2.5   0  0  0
12 Jan 95   76      23        10     0       *    A5.3   0  0  0
13 Jan 95   75      13        10     1       *    A2.9   0  0  0
14 Jan 95   77      17        70     0       *    A4.0   0  0  0
15 Jan 95   81      18        90     0       *    A3.9   0  0  0
16 Jan 95   83      30       110     0       *    A7.0   0  0  0
17 Jan 95   84      53       210     2      15    B1.5   0  0  0
18 Jan 95   87      57       340     0       8    B1.3   1  0  0
19 Jan 95   90      79       380     1       1    B1.6   2  0  0
20 Jan 95   93      87       410     1       *    B1.9   2  0  0
21 Jan 95   96      78       300     0       *    B2.6   4  0  0
22 Jan 95   96      93       250     1       *    B1.9   0  0  0
23 Jan 95   96      86       270     0       *    B2.2   1  0  0
24 Jan 95   97      87       270     0     -20    B1.6   1  0  0
25 Jan 95   90      79       180     0     -36    B2.3   2  0  0
26 Jan 95   86      54       180     0       *       *   3  0  0
27 Jan 95   88      36       120     0       *    B1.1   2  0  0
28 Jan 95   83      51       140     1       *    B1.2   0  0  0
29 Jan 95   85      25       190     0       *    B1.4   1  0  0
30 Jan 95   86      43       190     1       *    B2.6   8  0  0
31 Jan 95   87      55       270     0     -30    B4.4   8  0  0
01 Feb 95   87      66       270     1      19    B4.5   5  2  0
02 Feb 95   86      76       230     1      18    B2.7   1  0  0
03 Feb 95   83      69       170     0      13    B1.1   2  1  0
04 Feb 95   86      63       140     0       *    A7.9   1  1  0
05 Feb 95   81      85       150     1       *    B1.0   2  0  0
06 Feb 95   84      55       130     0       *    A6.6   2  0  0
07 Feb 95   84      23       100     0     -30    A9.8   0  0  0
08 Feb 95   86      19        70     0       *    B1.2   0  0  0
09 Feb 95   84      24       100     1     -43    B1.5   0  0  0
10 Feb 95   81      38       120     2       *    A9.4   0  0  0
11 Feb 95   81      23       110     0       *    A5.4   0  0  0
12 Feb 95   81      24       120     0      25    A4.1   0  0  0
13 Feb 95   86      26       120     0       8    A6.1   0  0  0
14 Feb 95   82      36       150     2      17    A7.5   0  0  0
15 Feb 95   85      53       150     0      19    A5.3   0  0  0
16 Feb 95   86      48       140     1      -8       *   0  0  0
17 Feb 95   89      56       180     0       0    A5.6   0  0  0
18 Feb 95   89      57       200     0     -19       *   2  0  0
19 Feb 95   95      69       250     1     -31    B1.2   7  0  0
20 Feb 95   91      75       320     0       *    B1.4   3  1  0
21 Feb 95   89      77       240     0       *    A9.4   2  0  0
22 Feb 95   85      72       170     1       *    A6.5   0  0  0
23 Feb 95   85      64       230     0       *       *   0  0  0
24 Feb 95   83      39        90     0       *    A4.4   0  0  0
25 Feb 95   83      40       110     0     -34    A4.4   0  0  0
26 Feb 95   86      43       140     1       *    A4.6   0  0  0
27 Feb 95   88      56       220     1       *    A9.3   0  0  0
28 Feb 95   91      61       290     0       *    B1.3   0  0  0
01 Mar 95   90      84       440     1       *    B1.7   0  0  0
02 Mar 95   90      71       410     0      14    A9.3   0  0  0
03 Mar 95   91      68       500     0      36    B1.1   1  0  0
04 Mar 95   89      80       410     1       *    B1.9   1  0  0
05 Mar 95   84      85       370     1       *       *   0  0  0
06 Mar 95   84      55       240     0     -50    A5.9   1  0  0
07 Mar 95   84      50       250     0     -53    A7.6   0  0  0
08 Mar 95   81      38       160     0       *    A9.7   2  0  0
09 Mar 95   78      22        50     0       *    A7.1   0  0  0
10 Mar 95   79       0         0     0       *       *   2  0  0
11 Mar 95   76      11         0     1       *    A8.5   0  0  0
12 Mar 95   76      26        10     1       *       *   0  0  0
13 Mar 95   77      35        20     1       *    A3.9   0  0  0
14 Mar 95   79      37       130     1       *    A9.9   1  0  0
15 Mar 95   81      29       220     0       *    A9.1   1  0  0
16 Mar 95   84      19       220     0       *    A7.3   1  0  0
17 Mar 95   83      33       220     1       *    A6.9   0  0  0
