:Product: Daily Particle Data        1997_DPD.txt
:Issued: 1900 UT 17 Dec 1998
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                            1997 Daily Particle Data
#
               GOES-9 Proton Fluence      GOES-9 Electron Fluence      Neutron
             --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
   Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd

1997 01 01    2.9e+05  1.7e+04  3.7e+03   2.8e+09    2.3e+05          -999.99
1997 01 02    2.7e+05  1.7e+04  3.8e+03   2.0e+09    1.8e+05          -999.99
1997 01 03    4.0e+05  1.6e+04  3.8e+03   2.8e+09    2.4e+05          -999.99
1997 01 04    3.5e+05  1.7e+04  4.0e+03   2.0e+09    1.8e+05          -999.99
1997 01 05    5.1e+05  1.7e+04  4.0e+03   1.4e+09    1.4e+05          -999.99
1997 01 06    5.1e+05  1.7e+04  4.0e+03   1.0e+09    1.2e+05          -999.99
1997 01 07    6.9e+05  1.7e+04  4.1e+03   1.6e+09    1.3e+05          -999.99
1997 01 08    6.2e+05  1.7e+04  3.8e+03   1.2e+10    3.4e+05          -999.99
1997 01 09    4.1e+05  1.8e+04  4.3e+03   9.3e+09    2.9e+05          -999.99
1997 01 10    2.2e+06  1.8e+04  4.3e+03   2.9e+10    2.0e+08          -999.99
1997 01 11    1.3e+06  1.7e+04  4.2e+03   2.1e+10    8.7e+07          -999.99
1997 01 12    4.1e+06  1.8e+04  4.3e+03   2.3e+10    5.4e+07          -999.99
1997 01 13    1.3e+06  1.9e+04  4.3e+03   3.5e+10    8.2e+07          -999.99
1997 01 14    2.2e+06  1.8e+04  4.6e+03   3.9e+10    1.2e+08          -999.99
1997 01 15    2.6e+06  1.8e+04  4.5e+03   3.0e+10    1.3e+08          -999.99
1997 01 16    1.9e+06  1.8e+04  4.6e+03   2.3e+10    8.0e+07          -999.99
1997 01 17    3.2e+06  1.8e+04  4.8e+03   1.9e+10    6.3e+07          -999.99
1997 01 18    2.4e+06  1.9e+04  4.8e+03   1.1e+10    1.8e+07          -999.99
1997 01 19    1.3e+06  1.9e+04  5.0e+03   8.4e+09    6.8e+06          -999.99
1997 01 20    9.9e+05  1.9e+04  5.0e+03   7.7e+09    2.5e+06          -999.99
1997 01 21    8.0e+05  1.8e+04  4.5e+03   4.9e+09    1.2e+06          -999.99
1997 01 22    2.6e+05  1.9e+04  4.4e+03   8.5e+09    2.6e+06          -999.99
1997 01 23    2.5e+05  1.8e+04  4.4e+03   1.5e+10    4.6e+06          -999.99
1997 01 24    2.6e+05  1.8e+04  4.3e+03   1.3e+10    4.0e+06          -999.99
1997 01 25    4.9e+05  1.8e+04  4.4e+03   1.0e+10    4.1e+06          -999.99
1997 01 26    1.1e+06  1.7e+04  4.0e+03   5.8e+09    1.2e+06          -999.99
1997 01 27    2.1e+06  1.6e+04  4.0e+03   4.5e+10    5.3e+07          -999.99
1997 01 28    1.5e+07  1.6e+04  3.7e+03   3.9e+10    3.3e+08          -999.99
1997 01 29    2.0e+06  1.6e+04  3.5e+03   5.0e+10    5.7e+08          -999.99
1997 01 30    4.0e+06  1.6e+04  3.7e+03   4.7e+10    6.8e+08          -999.99
1997 01 31    1.2e+06  1.8e+04  4.0e+03   4.0e+10    4.7e+08          -999.99
1997 02 01    1.0e+06  1.7e+04  4.2e+03   3.7e+10    4.7e+08          -999.99
1997 02 02    1.4e+06  1.7e+04  4.1e+03   2.3e+10    2.1e+08          -999.99
1997 02 03    8.6e+05  1.7e+04  4.1e+03   1.5e+10    4.6e+07          -999.99
1997 02 04    1.1e+06  1.7e+04  4.1e+03   1.5e+10    5.3e+07          -999.99
1997 02 05    1.4e+06  1.7e+04  4.2e+03   7.4e+09    2.5e+07          -999.99
1997 02 06    5.7e+05  1.8e+04  4.0e+03   6.3e+09    7.5e+06          -999.99
1997 02 07    6.2e+05  1.8e+04  4.4e+03   1.1e+10    1.9e+07          -999.99
1997 02 08    1.6e+06  1.9e+04  4.4e+03   7.3e+09    2.4e+06          -999.99
1997 02 09    2.2e+06  1.8e+04  4.2e+03   2.6e+10    6.0e+06          -999.99
1997 02 10    1.0e+07  1.6e+04  4.0e+03   5.0e+10    2.3e+09          -999.99
1997 02 11    2.2e+06  1.8e+04  4.2e+03   3.4e+10    9.8e+08          -999.99
1997 02 12    4.1e+05  1.8e+04  4.8e+03   9.3e+09    7.4e+07          -999.99
