:Product: Daily Particle Data        1998_DPD.txt
:Issued: 2230 UT 19 Jan 1998
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                        1998 Daily Particle Data
#

               GOES-9 Proton Fluence      GOES-9 Electron Fluence      Neutron
             --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
   Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
1998 01 01    1.0e+05  1.7e+04  4.1e+03   3.8e+09    2.0e+05          -999.99
1998 01 02    1.0e+05  1.6e+04  3.9e+03   7.6e+09    2.8e+05            77.59
1998 01 03    1.2e+05  1.7e+04  4.1e+03   7.0e+09    2.9e+05            33.48
1998 01 04    1.6e+05  1.8e+04  4.3e+03   5.4e+09    3.0e+05            50.77
1998 01 05    1.9e+05  1.8e+04  4.6e+03   3.7e+09    2.5e+05            30.96
1998 01 06    4.5e+05  1.8e+04  4.5e+03   3.2e+09    2.8e+05            34.18
1998 01 07    1.3e+05  1.7e+04  3.9e+03   9.1e+09    2.2e+06            35.29
1998 01 08    2.8e+05  1.7e+04  4.1e+03   1.3e+10    4.0e+06            33.60
1998 01 09    2.6e+06  1.8e+04  4.4e+03   1.8e+10    1.7e+07            32.65
1998 01 10    1.6e+06  1.7e+04  4.5e+03   3.1e+10    4.9e+07            33.44
1998 01 11    7.6e+05  1.8e+04  4.4e+03   2.6e+10    3.4e+07            31.80
1998 01 12    4.6e+05  1.8e+04  4.8e+03   1.7e+10    2.0e+07            64.20
1998 01 13    4.7e+05  1.8e+04  4.7e+03   1.5e+10    1.7e+07            34.29
1998 01 14    3.9e+05  1.9e+04  4.6e+03   1.0e+10    1.3e+07            32.20
1998 01 15    4.4e+05  1.9e+04  4.9e+03   9.4e+09    1.4e+07            34.55
1998 01 16    5.3e+05  1.8e+04  4.4e+03   5.6e+09    7.5e+06            37.09
1998 01 17    2.4e+05  1.7e+04  4.2e+03   2.5e+09    3.7e+05            32.06
1998 01 18    1.4e+05  1.7e+04  4.1e+03   5.8e+08    1.2e+05            30.51
1998 01 19    1.3e+05  1.8e+04  4.4e+03   2.7e+08    9.7e+04            29.67
1998 01 20    1.1e+06  1.7e+04  3.8e+03   1.8e+09    1.8e+05            -0.80
1998 01 21    2.1e+05  1.7e+04  3.9e+03   5.3e+09    4.5e+05            29.84
1998 01 22    2.8e+05  1.7e+04  4.0e+03   4.5e+09    3.6e+05            31.74
1998 01 23    2.9e+05  1.7e+04  4.2e+03   3.5e+09    2.6e+05             0.00
1998 01 24    4.1e+05  1.8e+04  4.3e+03   3.3e+09    2.3e+05            -0.30
1998 01 25    1.5e+06  1.7e+04  4.2e+03   8.2e+09    7.1e+05            -0.40
1998 01 26    3.9e+05  1.8e+04  3.9e+03   7.2e+09    6.5e+05             0.05
1998 01 27    6.1e+05  2.0e+04  4.0e+03   4.7e+09    5.2e+05            -0.30
1998 01 28    1.8e+06  1.8e+04  4.2e+03   8.0e+09    6.9e+05            -0.40
1998 01 29    2.0e+06  1.6e+04  3.8e+03   4.4e+09    3.6e+05            -1.20
1998 01 30    5.5e+05  1.6e+04  3.9e+03   1.6e+10    1.0e+07             0.03
1998 01 31    3.3e+05  1.7e+04  4.0e+03   1.6e+10    1.2e+07             0.41
1998 02 01    1.1e+05  1.7e+04  4.3e+03   2.7e+09    1.4e+06             0.57
1998 02 02    2.2e+05  1.7e+04  4.1e+03   3.1e+09    1.1e+06             0.34
1998 02 03    1.5e+05  1.8e+04  4.5e+03   3.7e+09    1.2e+06             0.79
1998 02 04    3.4e+05  1.8e+04  4.1e+03   1.2e+10    4.6e+06             0.23
1998 02 05    4.2e+05  1.7e+04  4.0e+03   2.1e+10    6.6e+06             0.35
1998 02 06    3.7e+05  1.7e+04  4.0e+03   1.3e+10    4.9e+06             0.40
1998 02 07    5.1e+05  1.7e+04  4.0e+03   1.1e+10    3.9e+06            -0.20
1998 02 08    4.9e+05  1.7e+04  4.0e+03   7.1e+09    2.6e+06            -0.10
