:Product: Daily Particle Data        1999_DPD.txt
:Issued: 0100 UT 22 Mar 2000
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                      1999 Daily Particle Data
#

                GOES-8 Proton Fluence      GOES-8 Electron Fluence     Neutron
             --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
   Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
1999 01 01    2.0e+05  1.5e+04  3.7e+03   1.2e+10    8.3e+06          -999.99
1999 01 02    1.3e+05  1.5e+04  3.6e+03   1.2e+10    5.9e+06          -999.99
1999 01 03    1.4e+05  1.6e+04  3.7e+03   1.1e+10    6.5e+06          -999.99
1999 01 04    8.3e+05  1.8e+04  3.6e+03   4.8e+09    1.2e+06          -999.99
1999 01 05    5.1e+05  1.9e+04  4.0e+03   1.1e+10    2.7e+06          -999.99
1999 01 06    5.8e+05  1.6e+04  4.0e+03   1.3e+10    4.1e+06             1.03
1999 01 07    1.1e+05  1.6e+04  3.8e+03   6.8e+09    2.6e+06             0.92
1999 01 08    2.4e+05  1.6e+04  4.1e+03   1.1e+10    6.8e+06             1.11
1999 01 09    9.7e+04  1.5e+04  3.7e+03   2.6e+10    1.2e+07             0.57
1999 01 10    9.6e+04  1.5e+04  4.0e+03   3.8e+10    2.7e+07             0.00
1999 01 11    7.1e+04  1.5e+04  3.7e+03   3.5e+10    3.4e+07             0.11
1999 01 12    1.8e+05  1.5e+04  3.4e+03   3.0e+10    5.5e+07            -0.10
1999 01 13    2.7e+05  1.4e+04  3.3e+03   4.6e+09    1.3e+06            -0.60
1999 01 14    5.4e+05  1.4e+04  3.0e+03   7.9e+09    8.6e+05            -1.60
1999 01 15    9.2e+05  1.3e+04  3.0e+03   3.4e+10    7.7e+07            -1.00
1999 01 16    2.0e+05  1.4e+04  2.8e+03   4.0e+10    1.6e+08            -0.80
1999 01 17    5.0e+05  1.3e+04  3.0e+03   3.9e+10    2.1e+08            -0.50
1999 01 18    8.8e+05  1.3e+04  3.0e+03   3.1e+10    1.8e+08            -0.30
1999 01 19    7.4e+04  1.4e+04  3.0e+03   4.0e+09    7.1e+06             0.35
1999 01 20    3.2e+05  1.6e+04  3.3e+03   6.1e+09    1.3e+07             0.24
1999 01 21    2.9e+06  2.4e+05  7.1e+03   3.5e+09    2.4e+06             0.04
1999 01 22    5.4e+06  3.4e+05  5.8e+03   4.1e+09    2.7e+06             0.10
1999 01 23    2.2e+07  5.8e+05  3.5e+03   8.7e+09    3.2e+06            -4.50
1999 01 24    1.0e+07  1.8e+05  2.9e+03   1.4e+10    7.8e+06            -4.80
1999 01 25    3.8e+06  7.5e+04  2.5e+03   2.0e+10    2.1e+07            -4.20
1999 01 26    2.2e+06  3.8e+04  2.5e+03   1.8e+10    2.9e+07            -2.50
