:Product: Daily Particle Data        2000_DPD.txt
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                              2000 Daily Particle Data
#
#               GOES-8 Proton Fluence      GOES-8 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd


2000 01 01    5.9e+06  1.6e+04  2.8e+03   2.9e+10    1.3e+08          -999.99
2000 01 02    2.1e+06  1.4e+04  2.9e+03   3.4e+10    1.7e+08            12.39
2000 01 03    9.0e+05  1.4e+04  2.9e+03   3.9e+10    2.7e+08             4.72
2000 01 04    4.4e+05  1.2e+04  2.7e+03   3.1e+10    2.3e+08             4.49
2000 01 05    3.6e+05  1.2e+04  2.8e+03   2.7e+10    1.9e+08             4.87
2000 01 06    1.0e+06  1.2e+04  2.7e+03   1.9e+10    1.4e+08             3.89
2000 01 07    1.1e+05  1.2e+04  2.6e+03   1.5e+10    4.9e+07             3.15
2000 01 08    1.7e+05  1.3e+04  2.7e+03   2.6e+10    7.0e+07             3.31
2000 01 09    6.2e+05  2.7e+04  2.9e+03   2.4e+10    1.0e+08             2.71
2000 01 10    5.0e+06  6.5e+04  3.0e+03   1.0e+10    4.7e+07             2.52
2000 01 11    3.2e+06  2.7e+04  3.0e+03   3.1e+09    6.2e+06             2.42
2000 01 12    2.9e+05  1.4e+04  2.9e+03   1.2e+10    1.2e+06             1.02
2000 01 13    1.9e+05  1.4e+04  3.0e+03   3.4e+10    8.6e+06             0.81
2000 01 14    2.5e+05  1.3e+04  2.9e+03   3.3e+10    2.3e+07             1.21
2000 01 15    2.1e+05  1.3e+04  3.0e+03   3.1e+10    2.7e+07             1.12
2000 01 16    1.1e+05  1.3e+04  2.9e+03   2.7e+10    1.2e+07             1.37
2000 01 17    1.4e+05  1.3e+04  2.9e+03   2.2e+10    1.6e+07          -999.99
2000 01 18    3.2e+05  1.9e+04  3.3e+03   1.9e+10    1.5e+07             2.05
2000 01 19    9.4e+05  3.3e+04  3.4e+03   1.3e+10    1.0e+07             1.52
2000 01 20    7.6e+05  5.0e+04  3.1e+03   3.4e+09    6.1e+05            -0.40
2000 01 21    4.4e+05  2.8e+04  2.9e+03   3.7e+09    1.0e+06            -0.50
2000 01 22    1.4e+06  1.7e+04  2.7e+03   2.8e+09    1.0e+06            -1.50
2000 01 23    1.8e+05  1.3e+04  2.3e+03   5.4e+09    3.5e+05            -1.50
2000 01 24    1.3e+05  1.3e+04  2.4e+03   1.4e+10    5.4e+06            -0.90
2000 01 25    5.4e+04  1.2e+04  2.6e+03   5.6e+09    1.0e+07             0.66
