:Product: Daily Particle Data 2001_DPD.txt
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                         2001 Daily Particle Data
#
#               GOES-8 Proton Fluence      GOES-8 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-----------------------------------------------------------------------------

2001 01 01    8.8e+04  1.5e+04  2.5e+03   2.9e+09    1.6e+06          -999.99
2001 01 02    1.1e+05  1.2e+04  2.5e+03   2.5e+09    1.0e+06             0.11
2001 01 03    1.4e+05  1.1e+04  2.4e+03   3.7e+08    1.0e+05          -999.99
2001 01 04    3.5e+05  1.1e+04  2.4e+03   6.1e+08    2.0e+05            -0.10
2001 01 05    1.4e+05  1.4e+04  2.5e+03   1.1e+09    9.2e+04             0.54
2001 01 06    4.2e+05  6.6e+04  2.8e+03   3.8e+09    2.3e+05             0.52
2001 01 07    5.0e+05  2.0e+04  2.4e+03   3.3e+09    1.7e+05             0.50
2001 01 08    2.3e+05  1.1e+04  2.5e+03   2.7e+09    3.0e+05             0.45
2001 01 09    4.8e+04  1.2e+04  2.4e+03   3.3e+08    9.3e+04             0.00
2001 01 10    1.1e+05  1.1e+04  2.2e+03   9.7e+08    1.1e+05            -0.20
2001 01 11    7.5e+04  1.2e+04  2.4e+03   8.8e+08    1.2e+05             0.20
2001 01 12    8.0e+04  1.2e+04  2.6e+03   7.4e+09    6.1e+05             0.50
2001 01 13    1.5e+05  1.2e+04  2.6e+03   6.9e+09    1.9e+06            -0.70
2001 01 14    2.8e+05  1.2e+04  2.4e+03   5.8e+09    1.3e+06            -0.70
2001 01 15    9.5e+05  2.0e+04  2.3e+03   4.8e+09    1.2e+06            -0.40
2001 01 16    1.4e+06  1.6e+04  2.3e+03   4.2e+09    1.9e+06            -0.70
2001 01 17    9.4e+05  1.2e+04  2.4e+03   4.4e+09    3.1e+06            -0.40
2001 01 18    8.3e+05  1.1e+04  2.2e+03   7.5e+08    2.2e+05            -0.50
2001 01 19    4.8e+05  1.0e+04  2.4e+03   9.1e+08    2.7e+05            -0.40
2001 01 20    2.8e+05  1.0e+04  2.2e+03   9.4e+08    4.6e+05             0.12
2001 01 21    3.9e+05  1.5e+04  2.3e+03   4.7e+08    1.1e+05             0.46
2001 01 22    4.6e+06  1.5e+05  2.9e+03   1.3e+09    2.0e+05            -0.30
2001 01 23    1.2e+07  1.1e+05  2.4e+03   9.0e+09    2.9e+06             0.00
2001 01 24    7.5e+06  7.9e+04  2.0e+03   2.2e+09    6.1e+05            -5.60
2001 01 25    1.2e+06  2.6e+04  2.2e+03   3.5e+09    1.8e+06            -1.30
2001 01 26    1.6e+06  2.6e+04  1.9e+03   9.6e+09    8.6e+06            -0.60
2001 01 27    8.5e+05  2.0e+04  2.1e+03   8.3e+09    8.2e+06             0.10
2001 01 28    1.9e+06  2.7e+05  6.0e+03   1.2e+10    3.0e+07             0.56
2001 01 29    8.0e+07  2.1e+06  5.8e+03   3.3e+09    4.2e+06             0.94
2001 01 30    4.6e+07  3.0e+05  3.0e+03   2.0e+09    1.8e+06             1.00
2001 01 31    8.4e+06  6.7e+04  2.5e+03   1.5e+09    1.4e+06             0.10
2001 02 01    8.8e+05  1.7e+04  2.3e+03   2.0e+09    6.2e+05            -0.50
2001 02 02    9.6e+04  1.2e+04  2.5e+03   6.4e+09    1.3e+06             0.28
2001 02 03    8.8e+04  1.1e+04  2.7e+03   6.7e+09    3.0e+06             0.78
2001 02 04    1.4e+05  1.1e+04  2.7e+03   5.8e+09    3.0e+06             1.53
2001 02 05    2.7e+05  1.1e+04  2.8e+03   5.3e+09    3.8e+06             1.80
2001 02 06    1.1e+05  1.1e+04  2.7e+03   7.9e+08    1.9e+05             0.84
2001 02 07    6.4e+04  1.1e+04  2.9e+03   1.6e+09    1.3e+05             0.59
2001 02 08    6.1e+04  1.2e+04  2.8e+03   2.3e+09    2.4e+05             0.52
2001 02 09    8.2e+04  1.0e+04  2.5e+03   2.1e+09    3.0e+05             0.00
2001 02 10    7.0e+04  9.8e+03  2.5e+03   1.8e+09    3.7e+05             0.00
2001 02 11    3.2e+05  2.9e+04  2.5e+03   1.7e+09    3.7e+05             0.00
2001 02 12    7.9e+05  1.6e+04  2.4e+03   1.5e+09    4.2e+05             0.14
2001 02 13    3.7e+05  1.1e+04  2.2e+03   2.9e+09    4.7e+05            -0.80
2001 02 14    4.7e+05  1.0e+04  2.4e+03   1.1e+10    1.5e+07            -0.90
2001 02 15    1.8e+05  1.0e+04  2.5e+03   2.1e+10    3.9e+07            -0.10
2001 02 16    2.2e+05  1.0e+04  2.5e+03   2.7e+10    5.7e+07             0.19
2001 02 17    2.7e+05  1.0e+04  2.5e+03   2.5e+10    5.6e+07             0.77
2001 02 18    4.3e+05  1.1e+04  2.7e+03   2.1e+10    4.7e+07             1.20
2001 02 19    1.6e+05  1.0e+04  2.4e+03   5.8e+09    6.8e+06             0.61
2001 02 20    8.9e+04  1.1e+04  2.3e+03   1.4e+09    7.7e+05             0.00
2001 02 21    5.0e+04  1.1e+04  2.5e+03   9.0e+08    5.9e+05             0.26
2001 02 22    9.9e+04  1.1e+04  2.5e+03   1.5e+09    8.2e+05             0.75
2001 02 23    1.5e+05  1.0e+04  2.6e+03   3.0e+09    1.7e+06             0.79
2001 02 24    6.8e+04  1.0e+04  2.7e+03   8.2e+09    3.1e+06             0.30
2001 02 25    8.9e+04  1.1e+04  2.7e+03   7.3e+09    4.1e+06             0.65
2001 02 26    2.4e+06  4.7e+04  2.7e+03   4.6e+09    2.5e+06             0.80
2001 02 27    1.1e+06  2.1e+04  2.7e+03   2.5e+09    6.0e+05             0.70
2001 02 28    2.7e+05  1.1e+04  2.8e+03   4.0e+09    9.3e+05             0.56
2001 03 01    6.8e+04  1.1e+04  2.3e+03   2.9e+09    6.8e+05             0.45
2001 03 02    1.1e+05  1.1e+04  2.4e+03   6.0e+09    2.1e+06             0.13
2001 03 03    3.5e+05  1.1e+04  2.4e+03   8.6e+09    6.4e+06             0.00
2001 03 04    1.9e+05  1.1e+04  2.2e+03   1.1e+10    1.1e+07            -1.20
2001 03 05    1.2e+05  1.1e+04  2.5e+03   2.7e+09    6.3e+05            -0.20
2001 03 06    8.2e+04  1.1e+04  2.6e+03   3.4e+09    1.0e+06             0.10
2001 03 07    1.3e+05  1.1e+04  2.6e+03   1.2e+10    5.8e+06             0.39
2001 03 08    9.6e+04  1.1e+04  2.8e+03   1.4e+10    9.3e+06             0.83
2001 03 09    1.4e+05  1.2e+04  2.9e+03   1.4e+10    1.1e+07             1.04
2001 03 10    2.1e+05  1.3e+04  2.7e+03   1.1e+10    1.2e+07             1.12
2001 03 11    1.6e+05  1.3e+04  2.7e+03   8.6e+09    9.1e+06             0.60
2001 03 12    1.2e+05  1.2e+04  2.7e+03   3.7e+09    4.2e+06             0.27
2001 03 13    7.9e+04  1.2e+04  2.7e+03   5.2e+09    1.6e+06             0.34
2001 03 14    5.1e+04  1.2e+04  2.7e+03   5.3e+09    1.1e+06             0.83
2001 03 15    4.1e+04  1.2e+04  2.7e+03   5.8e+09    2.3e+06             0.07
2001 03 16    5.5e+04  1.1e+04  2.7e+03   6.4e+09    3.7e+06            -0.30
2001 03 17    8.2e+04  1.1e+04  2.7e+03   5.5e+09    1.8e+06             0.25
2001 03 18    2.5e+05  1.2e+04  2.8e+03   2.2e+09    6.5e+05             0.22
2001 03 19    2.5e+05  1.1e+04  2.5e+03   5.7e+08    2.2e+05            -0.80
