:Product: Daily Particle Data        2002_DPD.txt
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                         2002 Daily Particle Data
#
#               GOES-8 Proton Fluence      GOES-8 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-----------------------------------------------------------------------------

2002 01 01    5.2e+07  5.0e+06  3.1e+03   3.6e+09    1.2e+07          -999.99
2002 01 02    3.5e+07  3.7e+06  2.8e+03   8.2e+09    1.1e+07          -999.99
2002 01 03    2.0e+07  2.3e+06  2.5e+03   1.1e+10    9.3e+06            -5.30
2002 01 04    1.6e+07  1.4e+06  2.3e+03   1.0e+10    8.3e+06            -4.20
2002 01 05    1.0e+07  6.7e+05  2.3e+03   9.4e+09    5.7e+06            -1.70
2002 01 06    5.9e+06  2.8e+05  2.4e+03   9.1e+09    6.5e+06            -2.50
2002 01 07    3.7e+06  1.1e+05  2.3e+03   4.0e+09    1.5e+06            -1.60
2002 01 08    1.7e+06  6.8e+04  2.7e+03   7.0e+08    2.9e+05            -0.10
2002 01 09    7.1e+05  4.9e+04  2.8e+03   6.5e+08    2.3e+05             0.00
2002 01 10    5.3e+06  4.8e+05  3.2e+03   5.3e+08    2.1e+06             0.34
2002 01 11    7.8e+07  5.2e+06  3.4e+03   4.8e+09    1.4e+07            -3.20
2002 01 12    3.7e+07  2.0e+06  3.0e+03   1.4e+10    2.1e+07            -1.30
2002 01 13    2.2e+07  9.5e+05  2.7e+03   1.7e+10    3.6e+07            -2.40
2002 01 14    1.3e+07  5.6e+05  3.5e+03   1.6e+10    2.9e+07            -1.30
2002 01 15    1.2e+07  8.2e+05  4.4e+03   1.8e+10    3.2e+07            -0.20
2002 01 16    9.0e+06  7.9e+05  3.8e+03   1.5e+10    3.4e+07             0.65
2002 01 17    5.7e+06  3.9e+05  3.2e+03   1.0e+10    2.3e+07             0.93
2002 01 18    2.5e+06  1.6e+05  3.0e+03   5.7e+09    7.8e+06             1.04
2002 01 19    1.8e+06  5.6e+04  2.8e+03   4.0e+09    8.5e+06             0.43
2002 01 20    3.7e+05  3.1e+04  2.9e+03   1.1e+09    3.1e+05             0.44
2002 01 21    4.1e+05  2.8e+04  2.8e+03   4.1e+09    5.3e+05            -0.30
2002 01 22    3.8e+05  2.7e+04  2.9e+03   7.2e+09    1.3e+06             0.04
2002 01 23    3.7e+05  2.4e+04  2.9e+03   4.6e+09    9.1e+05             0.47
2002 01 24    2.3e+05  2.2e+04  3.0e+03   2.2e+09    3.5e+05            -1.10
2002 01 25    8.1e+05  3.2e+04  2.6e+03   2.0e+09    7.4e+05             0.42
2002 01 26    7.3e+05  3.8e+04  2.7e+03   1.4e+09    3.1e+05             0.37
2002 01 27    1.1e+06  1.7e+05  3.6e+03   2.6e+09    3.0e+05             0.76
2002 01 28    1.0e+06  7.0e+04  2.5e+03   5.0e+09    5.7e+05            -0.50
2002 01 29    4.8e+05  3.0e+04  2.4e+03   6.3e+09    7.5e+05            -1.90
2002 01 30    1.6e+05  1.9e+04  2.4e+03   6.8e+09    1.3e+06            -1.00
2002 01 31    2.2e+05  1.8e+04  2.4e+03   5.8e+09    1.1e+06            -0.50
2002 02 01    1.9e+05  1.3e+04  2.3e+03   6.4e+08    1.5e+05            -0.20
2002 02 02    1.6e+05  1.1e+04  2.1e+03   6.2e+08    9.8e+04             0.00
2002 02 03    4.9e+04  1.2e+04  2.3e+03   1.5e+09    8.6e+04             0.49
2002 02 04    9.1e+04  1.1e+04  2.5e+03   2.7e+09    1.9e+05             0.81
2002 02 05    2.0e+05  1.3e+04  2.6e+03   1.7e+08    6.6e+04             0.84
2002 02 06    4.1e+05  1.2e+04  2.7e+03   2.1e+09    2.9e+05             1.60
2002 02 07    7.1e+05  1.2e+04  2.9e+03   1.2e+10    6.2e+06             1.41
2002 02 08    2.9e+05  1.3e+04  3.0e+03   2.5e+10    2.8e+07             1.42
2002 02 09    9.1e+04  1.3e+04  3.1e+03   2.1e+10    3.3e+07             1.34
2002 02 10    2.3e+05  1.3e+04  3.2e+03   1.2e+10    1.6e+07             1.94
2002 02 11    2.0e+05  1.2e+04  3.2e+03   9.1e+09    1.1e+07             1.25
2002 02 12    6.4e+04  1.3e+04  3.2e+03   5.9e+09    7.0e+06             0.46
2002 02 13    2.9e+05  1.3e+04  3.2e+03   6.3e+09    8.6e+06             0.89
2002 02 14    1.8e+05  1.1e+04  2.7e+03   5.9e+09    9.1e+06             1.09
2002 02 15    5.0e+05  1.2e+04  2.8e+03   7.0e+09    1.6e+07            -2.30
2002 02 16    3.4e+05  1.2e+04  3.1e+03   5.9e+09    1.0e+07             0.22
2002 02 17    3.0e+05  1.3e+04  2.8e+03   2.1e+09    1.3e+06             0.83
2002 02 18    2.8e+05  1.2e+04  2.8e+03   1.9e+09    9.5e+05             0.06
2002 02 19    1.7e+05  1.2e+04  2.7e+03   5.4e+07    1.1e+05            -0.30
2002 02 20    1.4e+06  1.6e+05  3.3e+03   2.6e+08    2.7e+05             0.07
2002 02 21    1.3e+06  4.8e+04  3.0e+03   1.1e+09    2.4e+05             0.34
2002 02 22    5.2e+05  1.8e+04  3.0e+03   2.6e+09    2.3e+05            -0.70
2002 02 23    2.7e+05  1.3e+04  3.0e+03   3.3e+09    2.4e+05          -999.99
2002 02 24    1.9e+05  1.2e+04  2.7e+03   3.9e+09    4.2e+05            -1.10
2002 02 25    1.4e+05  1.1e+04  2.5e+03   3.6e+09    3.6e+05            -0.40
2002 02 26    1.1e+05  1.1e+04  2.4e+03   1.6e+09    2.6e+05            -0.30
2002 02 27    7.8e+04  1.2e+04  2.7e+03   2.2e+09    3.6e+05            -0.10
2002 02 28    1.5e+05  1.1e+04  2.3e+03   8.1e+08    1.2e+05            -0.10
2002 03 01    5.5e+04  1.1e+04  2.4e+03   3.6e+08    6.1e+04          -999.99
2002 03 02    4.3e+04  1.1e+04  2.5e+03   6.2e+08    6.3e+04          -999.99
2002 03 03    3.9e+04  1.1e+04  2.5e+03   5.9e+08    7.4e+04          -999.99
2002 03 04    4.4e+04  1.1e+04  2.6e+03   5.2e+07    6.5e+04          -999.99
2002 03 05    3.9e+05  1.1e+04  2.6e+03   1.0e+09    9.2e+04             0.24
2002 03 06    4.7e+05  1.3e+04  2.9e+03   5.3e+09    1.1e+06             0.37
2002 03 07    8.9e+05  1.3e+04  2.7e+03   1.5e+10    1.7e+07             0.91
2002 03 08    9.2e+05  1.4e+04  2.9e+03   1.2e+10    1.2e+07             0.94
2002 03 09    6.3e+05  1.4e+04  2.8e+03   8.2e+09    8.3e+06             0.53
2002 03 10    6.4e+05  1.3e+04  2.8e+03   2.2e+09    2.3e+06             0.63
2002 03 11    4.8e+05  1.3e+04  2.7e+03   2.0e+09    1.9e+06             0.08
2002 03 12    1.5e+05  1.2e+04  2.4e+03   3.5e+09    2.4e+06            -1.10
2002 03 13    1.6e+05  1.3e+04  2.5e+03   6.2e+09    3.0e+06            -0.10
2002 03 14    1.2e+05  1.4e+04  2.7e+03   5.7e+09    3.5e+06             1.28
2002 03 15    3.5e+05  1.4e+04  2.7e+03   5.5e+09    5.6e+06            -0.20
2002 03 16    1.2e+07  1.2e+05  2.5e+03   1.8e+09    1.3e+06            -0.30
2002 03 17    4.6e+07  4.6e+05  2.6e+03   1.9e+09    2.0e+06            -0.10
2002 03 18    2.9e+08  9.6e+05  3.5e+03   5.7e+08    1.5e+06             0.81
2002 03 19    7.0e+07  1.9e+06  2.4e+03   1.1e+08    2.8e+06            -2.80
2002 03 20    3.4e+07  5.1e+05  2.0e+03   2.2e+08    9.7e+05            -2.50
2002 03 21    2.1e+07  1.3e+05  1.8e+03   5.5e+07    2.7e+05            -2.20
2002 03 22    9.2e+06  2.4e+05  1.8e+03   4.0e+08    7.3e+05            -2.00
2002 03 23    4.1e+07  6.8e+05  1.9e+03   4.6e+08    1.9e+06            -1.30
2002 03 24    1.2e+07  5.7e+04  1.8e+03   4.8e+08    1.5e+05            -2.70
2002 03 25    2.1e+06  1.5e+04  1.7e+03   4.6e+09    2.6e+06            -2.80
2002 03 26    3.7e+05  1.1e+04  2.3e+03   2.8e+09    1.3e+06             1.02
2002 03 27    2.3e+05  1.1e+04  2.5e+03   7.0e+09    3.0e+06             1.14
2002 03 28    3.2e+05  1.0e+04  2.5e+03   6.8e+09    5.6e+06             1.16
2002 03 29    7.1e+05  1.1e+04  2.7e+03   6.4e+09    5.6e+06             1.94
2002 03 30    2.3e+05  1.2e+04  2.6e+03   5.6e+08    1.8e+05          -999.99
2002 03 31    4.7e+05  1.1e+04  2.6e+03   1.3e+09    2.5e+05          -999.99
2002 04 01    1.6e+06  1.2e+04  2.8e+03   7.5e+09    4.4e+06          -999.99
2002 04 02    9.6e+05  1.2e+04  2.9e+03   5.5e+09    4.9e+06          -999.99
2002 04 03    3.6e+05  1.1e+04  2.8e+03   1.6e+10    1.8e+07          -999.99
2002 04 04    2.4e+05  1.1e+04  3.1e+03   3.8e+10    6.7e+07          -999.99
2002 04 05    4.4e+05  1.1e+04  2.8e+03   3.8e+10    1.0e+08          -999.99
2002 04 06    2.3e+05  1.2e+04  2.9e+03   2.4e+10    3.9e+07          -999.99
2002 04 07    1.9e+05  1.2e+04  3.2e+03   1.4e+10    1.7e+07          -999.99
2002 04 08    1.5e+05  1.2e+04  3.1e+03   9.3e+09    8.7e+06          -999.99
2002 04 09    2.2e+05  1.2e+04  3.2e+03   7.4e+09    8.9e+06          -999.99
2002 04 10    2.1e+05  1.2e+04  3.1e+03   5.5e+09    3.8e+06          -999.99
2002 04 11    3.4e+05  2.5e+04  2.7e+03   2.1e+09    7.4e+05          -999.99
2002 04 12    7.0e+05  2.8e+04  2.4e+03   4.3e+08    5.1e+05          -999.99
2002 04 13    1.7e+05  1.3e+04  2.7e+03   2.8e+08    3.2e+05          -999.99
2002 04 14    1.8e+05  1.5e+04  2.6e+03   1.2e+09    4.1e+05          -999.99
2002 04 15    3.4e+05  1.8e+04  2.4e+03   9.6e+08    3.3e+05          -999.99
2002 04 16    1.2e+05  1.2e+04  2.5e+03   1.2e+09    1.6e+05          -999.99
2002 04 17    1.9e+07  4.7e+05  2.7e+03   1.9e+08    6.5e+05          -999.99
2002 04 18    4.4e+07  3.1e+05  2.1e+03   1.2e+09    4.4e+06          -999.99
2002 04 19    5.4e+07  1.9e+05  2.1e+03   1.1e+10    2.8e+07          -999.99
2002 04 20    1.1e+07  3.5e+04  2.0e+03   5.7e+09    9.9e+06          -999.99
2002 04 21    1.9e+08  1.3e+08  1.2e+06   2.4e+10    1.0e+07          -999.99
2002 04 22    3.3e+08  8.0e+07  2.9e+05   2.2e+10    5.6e+07          -999.99
2002 04 23    6.5e+07  1.4e+07  3.0e+04   4.7e+09    5.1e+05          -999.99
2002 04 24    1.7e+07  5.6e+06  5.2e+03   3.0e+09    2.7e+05            -1.10
2002 04 25    3.3e+06  1.2e+06  3.4e+03   5.5e+09    1.4e+06            -0.30
2002 04 26    2.1e+06  6.5e+05  2.9e+03   8.6e+09    1.9e+07             0.95
2002 04 27    2.0e+06  3.6e+05  3.0e+03   6.0e+09    1.6e+07             0.83
2002 04 28    1.2e+06  1.3e+05  2.8e+03   3.3e+09    6.2e+06             0.58
2002 04 29    3.5e+05  6.3e+04  2.9e+03   5.1e+09    5.8e+06             0.62
2002 04 30    8.1e+05  4.7e+04  2.9e+03   1.1e+10    8.4e+06             0.68
2002 05 01    2.4e+06  1.2e+05  2.9e+03   8.5e+09    9.9e+06             1.53
2002 05 02    8.0e+05  3.1e+04  2.9e+03   9.1e+09    1.4e+07             2.34
2002 05 03    4.5e+05  2.3e+04  2.9e+03   5.9e+09    1.3e+07             2.01
2002 05 04    4.6e+05  2.2e+04  3.1e+03   4.6e+09    1.0e+07             0.95
2002 05 05    5.4e+05  1.9e+04  2.8e+03   3.1e+09    6.9e+06             0.94
2002 05 06    6.1e+05  1.7e+04  2.7e+03   2.0e+09    3.1e+06             0.45
2002 05 07    4.6e+05  1.6e+04  2.7e+03   1.0e+09    8.3e+05             0.28
2002 05 08    6.9e+05  1.8e+04  2.5e+03   1.1e+09    4.3e+05             0.31
2002 05 09    4.2e+05  1.6e+04  2.8e+03   3.2e+09    7.1e+05             0.78
2002 05 10    4.5e+05  1.4e+04  2.6e+03   3.0e+09    1.1e+06            -0.40
2002 05 11    2.6e+05  1.2e+04  2.2e+03   6.1e+08    3.4e+05            -1.20
2002 05 12    3.0e+05  1.2e+04  2.4e+03   5.1e+09    1.8e+06            -0.80
2002 05 13    2.6e+05  1.1e+04  2.3e+03   1.6e+10    2.1e+07            -2.30
2002 05 14    2.1e+05  1.1e+04  2.4e+03   3.1e+09    3.7e+06             0.11
2002 05 15    6.5e+04  1.1e+04  2.3e+03   2.4e+09    3.9e+06            -1.00
2002 05 16    1.9e+05  1.1e+04  2.3e+03   9.1e+09    7.9e+06            -0.30
2002 05 17    6.8e+05  1.2e+04  2.3e+03   1.4e+10    3.0e+07             0.11
2002 05 18    3.2e+06  1.2e+04  2.6e+03   1.3e+10    3.5e+07             0.45
2002 05 19    1.1e+06  1.0e+04  2.1e+03   6.9e+08    2.2e+06            -1.60
2002 05 20    1.9e+05  1.1e+04  2.1e+03   7.6e+08    8.9e+05            -0.90
2002 05 21    2.4e+05  1.1e+04  2.1e+03   3.7e+09    1.1e+06            -4.40
2002 05 22    1.2e+07  1.0e+06  2.5e+03   1.9e+09    2.3e+06            -1.70
2002 05 23    2.6e+08  6.8e+06  2.8e+03   3.4e+08    1.2e+07            -2.60
2002 05 24    9.5e+06  9.6e+05  2.5e+03   2.0e+09    9.5e+05             0.00
2002 05 25    1.1e+06  5.4e+04  2.9e+03   3.7e+09    1.7e+06             0.14
2002 05 26    7.4e+05  3.0e+04  2.4e+03   6.8e+09    2.1e+06            -0.10
2002 05 27    2.6e+05  1.5e+04  2.3e+03   3.5e+09    9.3e+05            -0.30
2002 05 28    3.1e+05  1.1e+04  2.2e+03   8.4e+09    2.1e+06             0.05
2002 05 29    2.7e+05  1.2e+04  2.4e+03   2.2e+10    1.0e+07             0.95
2002 05 30    6.3e+05  1.4e+04  2.4e+03   2.1e+10    1.5e+07             1.10
2002 05 31    5.3e+05  1.2e+04  2.6e+03   1.9e+10    1.5e+07             1.27
2002 06 01    1.0e+06  1.1e+04  2.6e+03   1.7e+10    1.9e+07             0.88
2002 06 02    2.5e+05  1.2e+04  2.7e+03   8.8e+08    2.0e+05             2.82
2002 06 03    1.7e+05  1.3e+04  2.5e+03   2.8e+09    3.8e+05            -0.40
2002 06 04    2.3e+05  1.2e+04  2.5e+03   7.8e+09    5.9e+06             6.58
2002 06 05    1.4e+05  1.2e+04  2.6e+03   1.3e+10    1.3e+07             8.47
2002 06 06    1.1e+05  1.2e+04  2.6e+03   2.0e+10    2.9e+07          -999.99
2002 06 07    1.6e+05  1.2e+04  2.6e+03   1.5e+10    2.3e+07          -999.99
2002 06 08    2.4e+05  1.2e+04  2.5e+03   6.8e+09    4.8e+06          -999.99
2002 06 09    1.8e+05  1.3e+04  2.6e+03   2.6e+09    1.7e+06          -999.99
2002 06 10    2.1e+05  1.2e+04  2.5e+03   3.2e+09    2.6e+06          -999.99
2002 06 11    8.1e+04  1.0e+04  2.4e+03   5.5e+09    2.9e+06          -999.99
2002 06 12    6.7e+04  1.1e+04  2.4e+03   9.4e+09    8.0e+06          -999.99
2002 06 13    6.8e+04  1.1e+04  2.5e+03   4.5e+09    3.7e+06          -999.99
2002 06 14    5.1e+04  1.1e+04  2.4e+03   4.1e+09    3.0e+06          -999.99
2002 06 15    5.0e+04  1.1e+04  2.5e+03   4.2e+09    3.3e+06          -999.99
2002 06 16    7.0e+04  1.1e+04  2.4e+03   2.1e+09    1.2e+06          -999.99
2002 06 17    3.7e+04  1.1e+04  2.5e+03   1.3e+09    6.4e+05          -999.99
2002 06 18    7.1e+04  1.1e+04  2.4e+03   2.2e+09    1.1e+06          -999.99
2002 06 19    5.1e+04  1.1e+04  2.4e+03   7.0e+08    1.7e+05          -999.99
2002 06 20    4.1e+04  1.1e+04  2.4e+03   5.2e+09    1.3e+06          -999.99
2002 06 21    4.0e+04  1.1e+04  2.5e+03   5.1e+09    1.7e+06          -999.99
2002 06 22    5.4e+04  1.2e+04  2.7e+03   7.3e+09    3.3e+06          -999.99
2002 06 23    6.5e+04  1.3e+04  2.9e+03   4.7e+09    2.3e+06          -999.99
