:Product: Daily Particle Data        2005_DPD.txt
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to SEC.Webmaster@noaa.gov
#
#                           2005 Daily Particle Data
#
#              GOES-11 Proton Fluence     GOES-12 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------

2005 01 01    7.4e+05  1.3e+04  3.1e+03   1.4e+10    2.5e+07            99.60
2005 01 02    5.3e+06  1.4e+04  2.9e+03   9.2e+09    1.2e+07            99.70
2005 01 03    4.4e+06  1.3e+04  2.4e+03   3.8e+10    1.6e+08            96.00
2005 01 04    4.8e+06  1.1e+04  2.3e+03   5.8e+10    5.3e+08            97.30
2005 01 05    3.8e+06  1.1e+04  2.1e+03   7.6e+10    9.2e+08            98.70
2005 01 06    2.3e+06  1.1e+04  2.3e+03   6.9e+10    9.1e+08           100.00
2005 01 07    4.1e+06  1.2e+04  2.4e+03   3.7e+10    4.1e+08           100.60
2005 01 08    1.8e+06  1.1e+04  2.4e+03   2.3e+09    4.3e+06           100.10
2005 01 09    1.3e+06  1.3e+04  2.8e+03   1.9e+09    2.8e+06            -1.00
2005 01 10    1.5e+06  1.4e+04  3.1e+03   2.7e+09    6.5e+06           100.60
2005 01 11    1.7e+06  1.4e+04  3.2e+03   1.2e+10    1.4e+07           101.00
2005 01 12    2.0e+06  1.4e+04  3.5e+03   1.1e+10    1.2e+07           101.30
2005 01 13    2.0e+06  1.4e+04  3.4e+03   4.4e+10    1.8e+08           101.20
2005 01 14    2.2e+06  1.5e+04  3.5e+03   5.1e+10    2.5e+08           100.40
2005 01 15    5.8e+06  2.7e+05  6.3e+03   2.4e+10    8.1e+07            99.80
2005 01 16    1.4e+08  1.3e+07  3.0e+04   3.8e+10    2.2e+08            99.60
2005 01 17    6.2e+08  1.1e+08  6.7e+05   2.9e+09    1.4e+07            98.80
2005 01 18    5.5e+08  9.4e+07  3.8e+05   3.2e+10    2.0e+08            92.80
2005 01 19    1.1e+08  8.2e+06  8.8e+03   4.7e+10    4.4e+08            89.40
2005 01 20    1.4e+08  5.2e+07  6.1e+06   8.8e+10    1.1e+09           103.90
2005 01 21    2.8e+08  1.2e+07  3.5e+05   6.3e+10    9.4e+08            98.30
2005 01 22    2.8e+07  1.4e+06  2.6e+04   1.1e+10    1.1e+07            97.10
2005 01 23    8.4e+06  2.2e+05  9.1e+03   6.7e+10    5.2e+08           101.50
2005 01 24    3.0e+06  7.0e+04  5.0e+03   8.8e+10    1.2e+09           102.10
2005 01 25    2.1e+06  4.0e+04  4.2e+03   8.5e+10    1.2e+09           103.70
2005 01 26    1.6e+06  3.1e+04  3.5e+03   7.2e+10    9.6e+08           101.90
2005 01 27    3.9e+06  2.7e+04  3.7e+03   6.1e+10    8.2e+08           101.70
2005 01 28    3.6e+06  3.8e+04  3.4e+03   1.8e+10    5.9e+07           100.50
2005 01 29    2.1e+06  4.6e+04  3.2e+03   4.2e+09    5.9e+06           101.30
2005 01 30    1.7e+06  3.8e+04  3.1e+03   1.6e+10    2.8e+07            97.70
2005 01 31    7.7e+06  2.8e+04  3.2e+03   2.5e+10    6.0e+07            99.50
