:Product: Daily Particle Data        2006_DPD.txt
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to SEC.Webmaster@noaa.gov
#
#                          2006 Daily Particle Data
#
#              GOES-11 Proton Fluence     GOES-12 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------

2006 01 01    2.0e+06  1.3e+04  2.8e+03   4.0e+10    3.0e+08            98.30
2006 01 02    1.1e+06  1.4e+04  3.1e+03   1.7e+10    5.6e+07            99.40
2006 01 03    9.7e+05  1.4e+04  3.2e+03   1.7e+10    6.1e+07           100.10
2006 01 04    1.1e+06  1.5e+04  3.8e+03   1.5e+10    5.9e+07           100.10
2006 01 05    1.3e+06  1.5e+04  3.5e+03   1.4e+10    5.8e+07            99.50
2006 01 06    8.4e+05  1.6e+04  3.9e+03   6.3e+09    1.9e+07           100.40
2006 01 07    6.2e+05  1.6e+04  3.9e+03   2.9e+09    9.9e+06           100.40
2006 01 08    5.1e+05  1.6e+04  4.2e+03   3.6e+09    1.0e+07            99.90
2006 01 09    6.1e+05  1.5e+04  3.8e+03   3.1e+09    7.3e+06            99.90
2006 01 10    7.0e+05  1.5e+04  3.6e+03   3.1e+09    1.1e+07            99.80
2006 01 11    7.9e+05  1.5e+04  3.8e+03   1.9e+09    9.3e+06           100.30
2006 01 12    5.4e+05  1.6e+04  4.0e+03   9.3e+08    2.5e+06           100.30
2006 01 13    5.9e+05  1.5e+04  4.0e+03   8.9e+08    3.4e+06           100.10
2006 01 14    5.8e+05  1.4e+04  3.4e+03   5.5e+08    1.8e+06           100.20
2006 01 15    7.5e+05  1.6e+04  3.8e+03   5.6e+08    2.8e+06           100.50
2006 01 16    6.5e+05  1.5e+04  3.4e+03   3.6e+08    1.3e+06            99.90
2006 01 17    3.4e+05  1.4e+04  3.3e+03   9.5e+09    2.2e+06            99.90
2006 01 18    7.6e+05  1.4e+04  3.4e+03   1.2e+10    5.0e+06            -1.00
2006 01 19    6.4e+05  1.5e+04  3.6e+03   2.0e+10    1.1e+07            99.60
2006 01 20    8.3e+05  1.5e+04  3.3e+03   1.9e+10    1.9e+07            99.40
2006 01 21    4.4e+05  1.5e+04  3.7e+03   1.1e+10    6.8e+06           100.10
2006 01 22    5.3e+05  1.6e+04  3.8e+03   7.8e+09    6.6e+06           100.40
2006 01 23    5.3e+05  1.6e+04  3.5e+03   9.0e+08    9.8e+05           100.70
2006 01 24    2.1e+06  1.5e+04  3.3e+03   1.7e+10    7.7e+06            99.80
2006 01 25    2.1e+06  1.4e+04  3.3e+03   1.4e+10    6.4e+06            99.20
2006 01 26    2.3e+06  1.4e+04  3.2e+03   6.7e+09    4.2e+06           100.40
2006 01 27    3.0e+06  1.4e+04  3.2e+03   5.8e+10    1.6e+08           100.50
2006 01 28    1.8e+06  1.4e+04  3.3e+03   7.2e+10    3.2e+08           100.50
2006 01 29    2.3e+06  1.4e+04  3.4e+03   7.4e+10    4.1e+08            99.50
2006 01 30    2.9e+06  1.4e+04  3.5e+03   6.8e+10    3.8e+08            99.80
2006 01 31    4.3e+06  1.4e+04  3.6e+03   5.1e+10    2.4e+08           100.50
2006 02 01    3.2e+06  1.5e+04  3.6e+03   1.9e+10    3.1e+07           100.40
2006 02 02    2.2e+06  1.6e+04  3.7e+03   7.3e+09    3.6e+06           100.30
2006 02 03    1.2e+06  1.5e+04  3.7e+03   1.4e+09    1.1e+06           100.00
2006 02 04    8.1e+05  1.5e+04  3.7e+03   2.4e+09    1.5e+06           100.10
2006 02 05    1.4e+06  1.6e+04  3.7e+03   2.7e+09    2.9e+06            96.00
2006 02 06    6.8e+05  1.5e+04  3.7e+03   1.5e+09    1.9e+06           100.10
2006 02 07    4.4e+05  1.6e+04  3.6e+03   5.7e+09    3.3e+06           100.00
2006 02 08    3.4e+05  1.5e+04  3.8e+03   6.6e+09    2.7e+06            99.80
2006 02 09    3.4e+05  1.6e+04  3.7e+03   6.4e+09    3.2e+06            99.80
2006 02 10    4.0e+05  1.6e+04  3.7e+03   5.4e+09    2.1e+06            99.60
2006 02 11    4.1e+05  1.6e+04  3.8e+03   2.0e+09    1.0e+06           100.00
2006 02 12    3.7e+05  1.5e+04  3.6e+03   1.3e+09    9.2e+05            99.90
2006 02 13    4.6e+05  1.5e+04  3.6e+03   1.4e+09    1.0e+06           100.00
2006 02 14    5.3e+05  1.5e+04  3.5e+03   1.1e+09    1.1e+06           100.40
2006 02 15    6.2e+05  1.5e+04  3.6e+03   9.3e+08    1.0e+06            99.90
2006 02 16    5.0e+05  1.5e+04  3.4e+03   3.8e+09    1.5e+06           100.00
2006 02 17    4.2e+05  1.5e+04  3.4e+03   5.3e+09    2.1e+06           100.30
2006 02 18    7.9e+05  1.5e+04  3.5e+03   6.1e+09    3.1e+06           100.40
2006 02 19    6.3e+05  1.6e+04  3.7e+03   2.5e+09    1.4e+06           100.00
2006 02 20    3.3e+06  1.5e+04  3.5e+03   9.5e+09    7.6e+06            99.40
2006 02 21    2.4e+06  1.5e+04  3.4e+03   4.3e+10    2.0e+08            99.50
2006 02 22    1.4e+06  1.5e+04  3.6e+03   5.0e+10    3.7e+08           101.00
2006 02 23    5.5e+05  1.4e+04  3.5e+03   6.1e+10    4.9e+08           101.00
2006 02 24    5.3e+05  1.6e+04  3.5e+03   5.0e+10    4.0e+08           101.20
2006 02 25    7.7e+05  1.5e+04  3.6e+03   3.4e+10    3.3e+08           100.00
2006 02 26    7.7e+05  1.6e+04  3.6e+03   2.2e+10    1.7e+08            99.90
2006 02 27    2.7e+05  1.5e+04  3.7e+03   4.4e+09    1.9e+07           100.20
2006 02 28    5.5e+05  1.5e+04  3.6e+03   3.9e+09    9.4e+06            99.30
2006 03 01    6.9e+05  1.5e+04  3.4e+03   2.5e+09    6.9e+06            99.70
2006 03 02    5.2e+05  1.6e+04  3.6e+03   1.8e+09    5.6e+06           100.30
2006 03 03    5.6e+05  1.6e+04  3.6e+03   2.2e+09    9.1e+06           100.50
2006 03 04    5.5e+05  1.5e+04  3.7e+03   2.6e+09    1.3e+07           100.20
2006 03 05    5.9e+05  1.6e+04  3.5e+03   2.4e+09    1.3e+07           100.10
2006 03 06    8.3e+05  1.6e+04  3.8e+03   1.2e+09    5.0e+06           100.00
2006 03 07    1.7e+05  1.5e+04  3.7e+03   1.7e+09    8.2e+05            99.60
2006 03 08    1.7e+05  1.6e+04  3.6e+03   3.9e+09    9.6e+05           100.00
2006 03 09    1.6e+05  1.6e+04  3.6e+03   2.5e+09    9.8e+05           100.00
2006 03 10    2.6e+05  1.6e+04  3.6e+03   1.4e+09    8.3e+05           100.20
2006 03 11    5.5e+05  1.5e+04  3.5e+03   8.7e+09    5.5e+06            99.90
2006 03 12    2.2e+05  1.5e+04  3.7e+03   8.3e+09    6.3e+06           100.10
2006 03 13    2.4e+05  1.7e+04  3.8e+03   9.3e+09    8.5e+06           100.20
2006 03 14    3.3e+05  1.6e+04  3.6e+03   7.4e+09    6.2e+06           100.10
2006 03 15    4.0e+05  1.6e+04  3.3e+03   2.7e+09    1.8e+06           100.00
2006 03 16    3.6e+05  1.5e+04  3.1e+03   2.0e+09    1.5e+06           100.10
2006 03 17    3.7e+05  1.5e+04  3.4e+03   2.9e+09    2.1e+06           100.50
2006 03 18    8.9e+05  1.5e+04  3.2e+03   2.4e+09    1.4e+06           100.60
2006 03 19    1.9e+06  1.5e+04  3.4e+03   2.2e+10    6.1e+07           100.10
2006 03 20    2.7e+06  1.5e+04  3.4e+03   4.4e+10    4.1e+08           100.10
2006 03 21    1.4e+06  1.5e+04  3.5e+03   8.0e+10    1.1e+09            99.90
2006 03 22    6.0e+05  1.6e+04  3.5e+03   5.8e+10    5.5e+08            99.80
2006 03 23    5.0e+05  1.6e+04  3.8e+03   7.4e+10    8.5e+08            99.60
2006 03 24    8.5e+05  1.5e+04  3.4e+03   7.1e+10    1.1e+09            99.30
2006 03 25    6.9e+05  1.6e+04  3.9e+03   1.9e+10    1.0e+08            99.90
2006 03 26    8.0e+05  1.6e+04  4.0e+03   1.9e+10    1.8e+08           100.00
2006 03 27    3.4e+05  1.6e+04  4.0e+03   8.4e+08    2.0e+06           100.10
2006 03 28    4.0e+05  1.6e+04  3.8e+03   3.1e+09    4.5e+06           100.50
2006 03 29    3.6e+05  1.7e+04  4.1e+03   3.4e+09    6.8e+06           100.20
2006 03 30    4.1e+05  1.6e+04  3.9e+03   2.4e+09    3.5e+06           100.20
2006 03 31    4.3e+05  1.7e+04  4.2e+03   2.0e+09    4.2e+06           100.00
2006 04 01    4.2e+05  1.6e+04  4.3e+03   1.5e+09    1.9e+06           100.00
2006 04 02    5.8e+05  1.7e+04  4.1e+03   1.4e+09    1.8e+06            99.90
2006 04 03    6.5e+05  1.7e+04  4.1e+03   1.1e+09    1.3e+06            99.70
2006 04 04    4.9e+05  1.7e+04  3.9e+03   7.0e+08    1.9e+06            99.30
2006 04 05    2.8e+05  1.6e+04  3.5e+03   4.0e+08    8.2e+05           100.20
2006 04 06    5.3e+05  1.6e+04  3.4e+03   6.2e+09    1.9e+06           100.00
2006 04 07    4.4e+05  1.7e+04  3.6e+03   1.0e+10    3.1e+06           100.10
2006 04 08    7.4e+05  1.6e+04  3.6e+03   1.2e+10    6.0e+06            99.70
2006 04 09    6.8e+05  1.5e+04  3.4e+03   2.4e+09    1.4e+06            99.20
2006 04 10    2.5e+06  1.5e+04  3.3e+03   3.5e+10    1.1e+08            99.30
2006 04 11    1.1e+06  1.6e+04  3.4e+03   5.2e+10    2.1e+08           100.50
2006 04 12    1.8e+06  1.6e+04  3.6e+03   5.6e+10    3.0e+08           100.30
2006 04 13    1.7e+06  1.5e+04  3.2e+03   2.1e+10    8.1e+07            99.90
2006 04 14    4.2e+06  1.5e+04  3.4e+03   1.1e+10    5.5e+07           100.00
2006 04 15    2.6e+06  1.5e+04  3.5e+03   4.0e+10    5.0e+08           100.30
2006 04 16    9.8e+05  1.5e+04  3.3e+03   8.7e+10    1.5e+09           100.40
2006 04 17    9.4e+05  1.5e+04  3.5e+03   1.2e+11    2.7e+09           100.10
2006 04 18    4.0e+05  1.6e+04  3.8e+03   2.9e+10    3.6e+08           100.00
2006 04 19    6.0e+05  1.6e+04  3.7e+03   5.3e+10    1.1e+09            99.80
2006 04 20    1.5e+06  1.6e+04  3.8e+03   4.2e+10    9.3e+08            99.80
2006 04 21    1.2e+06  1.7e+04  3.9e+03   1.6e+10    2.5e+08           100.00
2006 04 22    2.7e+05  1.6e+04  3.7e+03   1.4e+09    9.9e+06            99.40
2006 04 23    3.4e+05  1.7e+04  3.8e+03   4.2e+09    2.0e+07           100.10
2006 04 24    3.1e+05  1.6e+04  3.8e+03   7.8e+09    2.1e+07           100.20
2006 04 25    2.8e+05  1.6e+04  3.7e+03   5.7e+09    1.4e+07           100.40
2006 04 26    2.4e+05  1.7e+04  3.8e+03   2.6e+09    1.1e+07           100.40
2006 04 27    2.6e+05  1.7e+04  4.0e+03   1.0e+09    3.7e+06            99.90
2006 04 28    2.2e+05  1.7e+04  3.9e+03   7.0e+08    1.7e+06            99.40
2006 04 29    1.8e+05  1.7e+04  3.7e+03   5.5e+08    1.0e+06           100.00
2006 04 30    1.8e+05  1.7e+04  4.0e+03   6.6e+08    1.4e+06           100.00
2006 05 01    1.9e+05  1.8e+04  4.0e+03   8.6e+08    4.2e+06           100.10
2006 05 02    2.1e+05  1.8e+04  4.3e+03   8.4e+08    4.4e+06           100.50
2006 05 03    2.5e+05  1.8e+04  4.1e+03   6.7e+08    2.6e+06           100.30
2006 05 04    2.4e+05  1.6e+04  3.6e+03   2.9e+08    1.3e+06           100.00
2006 05 05    1.6e+05  1.6e+04  3.6e+03   1.1e+09    8.6e+05            99.50
2006 05 06    3.5e+05  1.6e+04  3.3e+03   2.2e+09    1.3e+06           100.20
2006 05 07    3.0e+06  1.6e+04  3.5e+03   1.3e+10    1.1e+07            99.70
2006 05 08    5.2e+05  1.6e+04  3.2e+03   4.1e+10    1.2e+08           100.50
2006 05 09    5.2e+05  1.6e+04  3.6e+03   4.4e+10    1.5e+08           100.80
2006 05 10    1.2e+06  1.6e+04  3.7e+03   4.0e+10    1.7e+08           100.30
2006 05 11    5.3e+05  1.6e+04  3.3e+03   8.4e+09    7.2e+06            99.60
2006 05 12    9.4e+05  1.6e+04  3.5e+03   4.2e+10    2.2e+08            99.70
2006 05 13    6.8e+05  1.6e+04  3.6e+03   6.5e+10    5.7e+08            99.80
2006 05 14    4.0e+05  1.6e+04  3.7e+03   5.3e+10    4.7e+08            99.80
2006 05 15    5.9e+05  1.6e+04  3.6e+03   5.6e+10    5.6e+08            99.90
2006 05 16    5.3e+05  1.5e+04  3.7e+03   6.3e+10    7.6e+08           100.00
2006 05 17    4.4e+05  1.6e+04  3.7e+03   3.2e+10    2.4e+08           100.30
2006 05 18    2.9e+05  1.7e+04  3.8e+03   2.6e+09    4.4e+06            99.80
2006 05 19    4.3e+05  1.5e+04  3.3e+03   4.1e+09    2.6e+06            99.80
2006 05 20    3.2e+05  1.5e+04  3.6e+03   1.3e+10    7.6e+06           100.30
2006 05 21    3.0e+05  1.6e+04  3.6e+03   1.4e+10    9.3e+06           100.20
2006 05 22    2.9e+05  1.6e+04  3.5e+03   8.6e+09    7.1e+06            99.90
2006 05 23    1.3e+05  1.5e+04  3.5e+03   7.0e+09    5.2e+06            99.90
2006 05 24    2.6e+05  1.6e+04  3.6e+03   7.8e+09    6.7e+06           100.20
2006 05 25    2.7e+05  1.6e+04  3.6e+03   6.9e+09    7.5e+06           100.10
2006 05 26    3.3e+05  1.6e+04  3.6e+03   4.3e+09    6.5e+06           100.10
2006 05 27    3.7e+05  1.6e+04  3.7e+03   4.1e+09    6.5e+06           100.40
2006 05 28    1.8e+05  1.7e+04  3.8e+03   2.1e+09    3.0e+06            97.90
2006 05 29    1.6e+05  1.7e+04  3.7e+03   1.5e+09    2.3e+06           100.00
2006 05 30    3.5e+05  1.7e+04  3.8e+03   7.8e+08    1.6e+06            95.40
2006 05 31    1.9e+05  1.6e+04  3.6e+03   2.6e+08    9.0e+05            99.30
