:Product: Daily Particle Data        2007_DPD.txt
:Issued: 1800 UT 02 Jan 2008
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                       2007 Daily Particle Data
#
#              GOES-11 Proton Fluence     GOES-12 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2007 01 01    5.5e+06  1.7e+04  4.3e+03   3.5e+10    2.6e+08            99.40
2007 01 02    5.5e+06  1.7e+04  4.2e+03   3.5e+10    2.6e+08            99.50
2007 01 03    5.7e+06  1.7e+04  4.1e+03   3.5e+10    2.6e+08            99.90
2007 01 04    3.5e+06  1.7e+04  4.0e+03   3.5e+10    2.6e+08           100.09
2007 01 05    2.3e+06  1.6e+04  3.8e+03   3.5e+10    2.6e+08           100.35
2007 01 06    2.0e+06  1.7e+04  4.1e+03   3.5e+10    2.6e+08           100.11
2007 01 07    1.7e+06  1.6e+04  4.1e+03   3.5e+10    2.6e+08           100.04
2007 01 08    2.5e+06  1.7e+04  4.7e+03   3.5e+10    2.6e+08           100.32
2007 01 09    2.5e+06  1.7e+04  3.9e+03   3.2e+10    2.4e+08           100.07
2007 01 10    2.3e+06  1.7e+04  3.9e+03   1.9e+10    7.9e+07            99.90
2007 01 11    1.5e+06  1.7e+04  3.8e+03   1.1e+10    3.3e+07            99.70
2007 01 12    9.5e+05  1.7e+04  4.2e+03   1.5e+10    3.6e+07           100.01
2007 01 13    1.3e+06  1.9e+04  4.3e+03   1.4e+10    4.0e+07           100.18
2007 01 14    2.9e+06  1.8e+04  4.1e+03   1.5e+10    5.4e+07            99.70
2007 01 15    5.9e+06  1.7e+04  3.6e+03   5.9e+09    1.4e+07            99.60
2007 01 16    3.0e+06  1.7e+04  3.7e+03   1.1e+10    7.4e+06            99.90
2007 01 17    5.0e+06  1.7e+04  3.6e+03   2.6e+10    6.3e+07           100.09
2007 01 18    4.8e+06  1.6e+04  3.5e+03   5.0e+10    3.3e+08            99.90
2007 01 19    3.0e+06  1.6e+04  3.6e+03   5.9e+10    5.3e+08           100.19
2007 01 20    3.6e+06  1.6e+04  4.0e+03   6.0e+10    5.3e+08           100.36
2007 01 21    2.6e+06  1.7e+04  4.1e+03   6.9e+10    6.7e+08           100.20
2007 01 22    2.6e+06  1.7e+04  3.9e+03   5.8e+10    5.5e+08           100.22
2007 01 23    2.3e+06  1.7e+04  4.3e+03   5.4e+10    5.2e+08           100.13
2007 01 24    3.2e+06  1.7e+04  4.2e+03   5.5e+10    6.1e+08           100.02
2007 01 25    3.9e+06  1.7e+04  4.4e+03   4.8e+10    5.9e+08           100.28
2007 01 26    3.7e+06  1.7e+04  4.2e+03   3.6e+10    4.1e+08           100.12
2007 01 27    3.5e+06  1.7e+04  4.2e+03   2.0e+10    1.4e+08           100.22
