:Product: Daily Particle Data        2008_DPD.txt
:Issued: 1800 UT 07 Jan 2009
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#   NOTE: Electron Fluence from GOES-11 Jan 1 - Mar 2 and Dec 1 - Dec 31
#                          2008 Daily Particle Data
#
#              GOES-11 Proton Fluence     GOES-12 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2008 01 01    2.0e+06  2.0e+04  4.4e+03   5.8e+09    2.5e+07           100.06
2008 01 02    2.8e+06  1.9e+04  4.5e+03   6.2e+09    4.2e+07           100.21
2008 01 03    1.9e+06  1.9e+04  4.8e+03   5.6e+09    4.0e+07            99.80
2008 01 04    2.9e+06  1.8e+04  4.3e+03   5.1e+09    4.1e+07            99.60
2008 01 05    3.4e+06  1.9e+04  4.1e+03   1.7e+09    4.2e+06            99.30
2008 01 06    5.8e+06  1.7e+04  3.8e+03   2.1e+10    2.3e+07            99.20
2008 01 07    2.1e+06  1.6e+04  3.5e+03   6.4e+10    3.2e+08            99.30
2008 01 08    1.6e+06  1.6e+04  3.2e+03   7.8e+10    5.6e+08            99.10
2008 01 09    1.0e+06  1.5e+04  3.3e+03   7.9e+10    7.5e+08            99.50
2008 01 10    9.5e+05  1.7e+04  3.3e+03   8.0e+10    7.9e+08            99.70
2008 01 11    8.8e+05  1.6e+04  3.4e+03   7.6e+10    7.7e+08           100.26
2008 01 12    1.5e+06  1.8e+04  3.6e+03   5.1e+10    5.5e+08           100.16
2008 01 13    1.2e+06  1.7e+04  3.6e+03   5.1e+09    1.2e+07            99.50
2008 01 14    5.8e+06  1.7e+04  3.7e+03   2.3e+10    3.5e+07            99.90
2008 01 15    3.4e+06  1.7e+04  3.7e+03   4.0e+10    1.4e+08           100.00
2008 01 16    3.7e+06  1.8e+04  3.8e+03   4.7e+10    2.3e+08           100.04
2008 01 17    5.3e+06  1.8e+04  3.8e+03   4.3e+10    2.9e+08           100.01
2008 01 18    3.5e+06  1.7e+04  3.9e+03   3.1e+10    1.5e+08           100.12
2008 01 19    5.7e+06  1.7e+04  3.8e+03   4.5e+10    2.8e+08           100.18
2008 01 20    3.1e+06  1.8e+04  3.9e+03   4.7e+10    2.3e+08            99.90
2008 01 21    2.3e+06  1.8e+04  4.2e+03   4.6e+10    2.6e+08            99.90
2008 01 22    2.3e+06  1.8e+04  4.1e+03   4.8e+10    3.2e+08           100.00
2008 01 23    3.0e+06  1.9e+04  4.2e+03   4.1e+10    3.3e+08           100.19
2008 01 24    2.9e+06  1.8e+04  4.0e+03   2.6e+10    1.8e+08            99.80
2008 01 25    2.1e+06  1.8e+04  4.1e+03   1.2e+10    5.4e+07           100.21
2008 01 26    1.7e+06  1.8e+04  4.3e+03   1.4e+10    5.8e+07           100.38
2008 01 27    2.7e+06  1.9e+04  4.0e+03   1.7e+10    7.3e+07           100.10
2008 01 28    2.1e+06  2.0e+04  4.6e+03   1.2e+10    6.2e+07           100.34
2008 01 29    1.8e+06  1.8e+04  4.4e+03   9.5e+09    4.3e+07            99.90
2008 01 30    1.8e+06  1.9e+04  4.4e+03   8.9e+09    4.5e+07            99.90
2008 01 31    2.8e+06  1.9e+04  4.7e+03   8.5e+09    5.7e+07            99.70
2008 02 01    2.6e+06  1.9e+04  4.4e+03   3.5e+09    5.5e+06            99.50
2008 02 02    2.1e+06  1.9e+04  4.5e+03   3.5e+10    8.0e+07            99.80
2008 02 03    9.2e+06  1.7e+04  3.7e+03   6.3e+10    4.1e+08            99.90
2008 02 04    1.1e+06  1.6e+04  3.7e+03   7.5e+10    6.5e+08           100.13
2008 02 05    8.7e+05  1.6e+04  3.7e+03   8.6e+10    9.7e+08            99.30
2008 02 06    1.0e+06  1.6e+04  3.9e+03   7.5e+10    9.1e+08            99.80
2008 02 07    1.3e+06  1.7e+04  3.7e+03   1.4e+10    7.6e+07            99.90
2008 02 08    9.8e+05  1.7e+04  3.7e+03   1.2e+10    7.3e+07            98.80
2008 02 09    1.9e+06  1.6e+04  3.7e+03   1.0e+10    8.1e+07            99.60
2008 02 10    2.6e+06  1.6e+04  3.5e+03   3.6e+09    5.0e+06            99.30
2008 02 11    8.4e+06  1.6e+04  3.3e+03   3.1e+10    1.1e+08            99.70
2008 02 12    3.8e+06  1.6e+04  3.3e+03   4.6e+10    2.2e+08            99.40
2008 02 13    2.8e+06  1.7e+04  3.8e+03   4.5e+10    2.7e+08            99.80
2008 02 14    3.1e+06  1.7e+04  3.8e+03   3.4e+10    2.2e+08           100.14
2008 02 15    5.5e+06  1.7e+04  3.7e+03   3.8e+10    2.1e+08            99.90
2008 02 16    2.2e+06  1.7e+04  3.7e+03   5.3e+10    3.0e+08           100.15
2008 02 17    2.5e+06  1.7e+04  3.9e+03   5.5e+10    3.7e+08           100.07
2008 02 18    4.1e+06  1.7e+04  3.7e+03   2.6e+10    1.5e+08            99.80
2008 02 19    2.0e+06  1.7e+04  3.8e+03   2.2e+10    7.6e+07           100.00
2008 02 20    1.7e+06  1.7e+04  3.7e+03   2.8e+10    1.2e+08            99.80
2008 02 21    3.7e+06  1.8e+04  4.0e+03   2.9e+10    1.1e+08           100.17
2008 02 22    4.1e+06  1.8e+04  4.1e+03   2.3e+10    1.0e+08            91.50
2008 02 23    2.9e+06  1.8e+04  3.9e+03   2.3e+10    1.2e+08            98.40
2008 02 24    2.6e+06  1.9e+04  4.4e+03   2.3e+10    1.3e+08            96.90
2008 02 25    2.3e+06  1.8e+04  4.1e+03   1.9e+10    1.2e+08            99.70
2008 02 26    2.5e+06  1.8e+04  4.0e+03   1.6e+10    1.0e+08            99.00
2008 02 27    2.6e+06  1.8e+04  4.4e+03   1.1e+10    7.1e+07            99.80
2008 02 28    3.3e+06  1.8e+04  4.2e+03   2.9e+09    4.4e+06            94.40
2008 02 29    1.8e+07  1.8e+04  3.8e+03   2.7e+10    1.1e+08            99.50
2008 03 01    6.5e+06  1.6e+04  3.7e+03   7.3e+10    7.5e+08            98.70
2008 03 02    2.3e+06  1.7e+04  4.2e+03   1.1e+11    1.8e+09            99.80
2008 03 03    1.5e+06  1.7e+04  3.9e+03   1.0e+11    1.9e+09            99.40
2008 03 04    1.9e+06  1.8e+04  4.1e+03   9.5e+10    2.0e+09           100.01
2008 03 05    3.0e+06  1.8e+04  3.8e+03   3.2e+10    3.6e+08           100.00
2008 03 06    2.5e+06  1.8e+04  3.9e+03   1.1e+10    5.1e+07           100.09
2008 03 07    2.4e+06  1.8e+04  3.9e+03   1.7e+10    8.4e+07           100.14
2008 03 08    2.0e+06  1.8e+04  3.7e+03   6.5e+09    3.8e+07            99.70
2008 03 09    1.2e+06  1.7e+04  3.4e+03   4.9e+09    1.8e+06            99.40
2008 03 10    1.5e+06  1.7e+04  3.5e+03   4.2e+10    1.4e+08            99.50
2008 03 11    7.4e+06  1.8e+04  3.6e+03   4.6e+10    2.5e+08            99.90
2008 03 12    5.1e+06  1.7e+04  3.4e+03   5.8e+10    4.1e+08           100.02
2008 03 13    1.5e+07  1.7e+04  3.6e+03   6.0e+10    6.0e+08           100.00
2008 03 14    9.6e+06  1.8e+04  3.9e+03   5.0e+10    4.9e+08           100.23
2008 03 15    1.0e+07  1.8e+04  4.1e+03   4.1e+10    4.2e+08           100.29
2008 03 16    3.0e+06  1.8e+04  4.1e+03   4.6e+10    4.3e+08            99.90
2008 03 17    3.5e+06  1.8e+04  4.2e+03   4.1e+10    4.0e+08            99.60
2008 03 18    3.1e+06  1.8e+04  4.1e+03   2.2e+10    1.4e+08            99.80
2008 03 19    2.8e+06  1.6e+04  3.8e+03   1.8e+10    1.2e+08           100.27
2008 03 20    3.5e+06  1.7e+04  4.1e+03   8.4e+09    4.0e+07           100.08
2008 03 21    1.7e+06  1.8e+04  4.2e+03   9.3e+09    3.6e+07           100.00
2008 03 22    1.2e+06  1.8e+04  4.3e+03   8.4e+09    4.1e+07           100.00
2008 03 23    1.0e+06  1.8e+04  4.1e+03   6.2e+09    2.8e+07            99.70
2008 03 24    6.2e+05  1.8e+04  3.7e+03   6.1e+09    3.0e+07            99.80
2008 03 25    1.2e+06  1.8e+04  4.1e+03   7.0e+09    6.0e+07           100.00
2008 03 26    3.6e+06  1.8e+04  4.0e+03   2.6e+09    6.6e+06            99.80
2008 03 27    4.5e+06  1.7e+04  3.9e+03   1.8e+10    5.7e+07            99.70
2008 03 28    1.4e+07  1.7e+04  3.8e+03   6.7e+10    1.2e+09            99.50
2008 03 29    3.4e+06  1.7e+04  3.7e+03   9.0e+10    1.8e+09            99.50
2008 03 30    1.3e+06  1.6e+04  3.8e+03   7.9e+10    1.5e+09            99.20
2008 03 31    1.3e+06  1.7e+04  4.0e+03   8.8e+10    1.8e+09            99.80
2008 04 01    1.3e+06  1.6e+04  3.7e+03   6.0e+10    1.0e+09            99.70
2008 04 02    1.7e+06  1.7e+04  4.0e+03   6.7e+10    1.6e+09           100.00
2008 04 03    2.2e+06  1.8e+04  4.0e+03   6.4e+10    1.7e+09           100.06
2008 04 04    2.7e+06  1.8e+04  4.0e+03   4.2e+10    8.9e+08            99.90
2008 04 05    9.1e+06  1.8e+04  3.7e+03   7.2e+09    1.7e+07            99.80
2008 04 06    1.7e+06  1.7e+04  3.6e+03   1.8e+10    3.6e+07            99.90
2008 04 07    8.0e+06  1.7e+04  3.8e+03   4.8e+10    2.5e+08           100.28
2008 04 08    5.7e+06  1.7e+04  3.4e+03   4.8e+10    3.2e+08           100.28
2008 04 09    3.8e+06  1.7e+04  3.7e+03   5.4e+10    4.0e+08           100.22
2008 04 10    2.7e+06  1.7e+04  3.6e+03   6.8e+10    6.4e+08           100.07
2008 04 11    2.1e+06  1.7e+04  3.9e+03   6.9e+10    6.2e+08            99.80
2008 04 12    4.0e+06  1.8e+04  3.9e+03   4.1e+10    3.4e+08           100.23
2008 04 13    3.6e+06  1.7e+04  4.1e+03   4.0e+10    3.6e+08           100.19
2008 04 14    2.8e+06  1.8e+04  4.0e+03   3.7e+10    3.4e+08           100.36
2008 04 15    4.0e+06  1.8e+04  4.4e+03   3.4e+10    3.6e+08           100.44
2008 04 16    1.7e+06  1.8e+04  4.5e+03   3.1e+09    9.4e+06            99.70
2008 04 17    6.4e+05  1.8e+04  4.4e+03   1.3e+10    1.2e+07            99.60
2008 04 18    6.5e+05  1.8e+04  4.3e+03   1.2e+10    1.5e+07           100.13
2008 04 19    8.7e+05  1.7e+04  4.3e+03   1.4e+10    2.7e+07           100.12
2008 04 20    1.0e+06  1.8e+04  4.3e+03   1.2e+10    3.0e+07           100.20
2008 04 21    7.3e+05  1.8e+04  4.6e+03   7.0e+09    2.1e+07           100.19
2008 04 22    1.1e+06  1.9e+04  4.7e+03   7.0e+09    2.5e+07           100.25
2008 04 23    1.1e+07  1.8e+04  3.8e+03   1.0e+10    1.3e+07            99.70
2008 04 24    2.8e+06  1.7e+04  3.6e+03   4.6e+10    3.0e+08            99.40
2008 04 25    1.3e+06  1.7e+04  3.7e+03   7.2e+10    7.8e+08            99.50
2008 04 26    1.5e+06  1.7e+04  3.9e+03   7.2e+10    1.1e+09            99.90
2008 04 27    1.1e+06  1.7e+04  3.9e+03   4.2e+10    5.0e+08           100.01
2008 04 28    2.5e+06  1.7e+04  3.8e+03   3.7e+10    3.7e+08           100.07
2008 04 29    6.7e+05  1.7e+04  3.9e+03   3.7e+10    2.3e+08           100.00
2008 04 30    1.2e+06  1.7e+04  3.9e+03   3.5e+10    2.5e+08            99.90
2008 05 01    1.3e+06  1.7e+04  3.7e+03   1.0e+10    1.4e+08            99.70
2008 05 02    3.4e+06  1.7e+04  3.8e+03   1.3e+10    3.6e+07            99.60
2008 05 03    2.2e+06  1.6e+04  3.5e+03   9.5e+09    2.3e+07            99.70
2008 05 04    1.3e+06  1.7e+04  3.7e+03   1.0e+10    2.6e+07            99.60
