:Product: Daily Particle Data    2009_DPD.txt
:Issued: 2100 UT 07 Jan 2010
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                         2009 Daily Particle Data
#
#              GOES-11 Proton Fluence     GOES-11 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2009 01 01    7.5e+05  1.8e+04  4.1e+03   9.3e+09    8.3e+05            99.00
2009 01 02    1.0e+06  1.8e+04  4.0e+03   1.4e+10    2.9e+06            99.00
2009 01 03    1.6e+06  1.8e+04  4.0e+03   1.4e+10    8.1e+06           100.09
2009 01 04    6.2e+05  1.9e+04  4.0e+03   2.5e+10    1.6e+07           100.23
2009 01 05    7.0e+05  1.8e+04  3.8e+03   2.8e+10    2.7e+07           100.00
2009 01 06    4.2e+05  1.9e+04  4.1e+03   2.0e+10    1.8e+07            99.50
2009 01 07    6.7e+05  1.8e+04  4.3e+03   1.8e+10    2.1e+07           100.45
2009 01 08    1.0e+06  2.0e+04  4.7e+03   1.3e+10    1.4e+07           100.12
2009 01 09    1.2e+06  2.0e+04  4.2e+03   5.7e+09    2.7e+06           100.08
2009 01 10    7.3e+05  1.8e+04  4.3e+03   2.9e+09    6.2e+05           100.00
2009 01 11    4.6e+05  1.9e+04  4.2e+03   2.5e+09    3.5e+05           100.00
2009 01 12    8.6e+05  1.9e+04  4.3e+03   2.7e+09    7.5e+05            99.90
2009 01 13    9.4e+05  2.0e+04  4.4e+03   2.0e+09    5.7e+05            99.90
2009 01 14    9.2e+05  1.9e+04  4.4e+03   5.4e+08    7.0e+04            99.70
2009 01 15    1.1e+06  2.0e+04  4.5e+03   3.7e+08    6.0e+04            99.90
2009 01 16    5.4e+05  1.9e+04  4.4e+03   4.2e+08    5.6e+04           100.17
2009 01 17    7.0e+05  1.9e+04  4.5e+03   4.0e+08    4.8e+04           100.33
2009 01 18    7.6e+05  1.9e+04  4.3e+03   4.8e+08    7.1e+04           100.03
2009 01 19    9.8e+05  1.8e+04  3.8e+03   5.9e+08    5.9e+04            99.30
2009 01 20    7.6e+05  1.8e+04  4.0e+03   3.2e+09    7.7e+04            99.60
2009 01 21    7.3e+05  1.8e+04  4.0e+03   2.2e+09    7.6e+04           100.20
2009 01 22    7.6e+05  1.8e+04  4.0e+03   1.8e+09    9.1e+04           100.43
2009 01 23    6.3e+05  1.9e+04  4.4e+03   1.5e+09    7.5e+04           100.12
2009 01 24    9.0e+05  1.9e+04  4.3e+03   1.5e+09    9.2e+04           100.23
2009 01 25    8.8e+05  1.9e+04  4.3e+03   1.2e+09    9.8e+04           100.21
2009 01 26    1.7e+06  1.9e+04  4.2e+03   2.5e+09    1.2e+05            99.40
2009 01 27    4.7e+05  1.8e+04  4.0e+03   6.0e+09    1.7e+05            99.80
2009 01 28    4.7e+05  2.0e+04  4.4e+03   7.3e+09    3.7e+05           100.01
2009 01 29    4.7e+05  2.0e+04  4.2e+03   4.9e+09    2.3e+05            99.80
2009 01 30    7.3e+05  1.9e+04  4.4e+03   4.3e+09    1.8e+05           100.06
2009 01 31    7.1e+05  1.9e+04  4.2e+03   2.4e+09    1.1e+05            99.70
2009 02 01    5.7e+05  1.9e+04  4.4e+03   2.8e+09    1.0e+05           100.01
2009 02 02    9.3e+05  2.0e+04  4.2e+03   3.1e+09    1.8e+05           100.24
2009 02 03    1.3e+06  2.0e+04  4.4e+03   2.9e+09    2.3e+05           100.02
2009 02 04    1.2e+06  2.0e+04  4.4e+03   5.7e+08    3.9e+04            99.60
2009 02 05    2.9e+05  2.1e+04  4.4e+03   5.0e+09    8.6e+04           100.21
2009 02 06    2.6e+05  2.0e+04  4.4e+03   1.1e+10    4.5e+05           100.00
2009 02 07    2.8e+05  1.9e+04  4.3e+03   1.0e+10    6.6e+05           100.18
2009 02 08    2.4e+05  1.9e+04  4.6e+03   9.0e+09    5.6e+05           100.10
2009 02 09    2.4e+05  1.9e+04  4.2e+03   7.6e+09    4.4e+05           100.05
2009 02 10    3.9e+05  2.0e+04  4.5e+03   7.4e+09    7.9e+05           100.18
2009 02 11    2.9e+05  2.0e+04  4.2e+03   4.8e+09    2.4e+05           100.05
2009 02 12    1.9e+05  2.0e+04  4.3e+03   3.0e+09    9.7e+04            99.90
2009 02 13    3.6e+05  2.1e+04  4.5e+03   2.9e+09    1.5e+05           100.11
2009 02 14    7.5e+05  2.0e+04  4.2e+03   2.9e+09    1.1e+05            99.80
2009 02 15    3.5e+06  1.9e+04  4.2e+03   2.8e+10    3.6e+07            99.80
2009 02 16    1.5e+06  1.8e+04  4.3e+03   4.6e+10    8.5e+07           100.04
2009 02 17    1.1e+06  1.9e+04  4.1e+03   3.6e+10    6.3e+07           100.17
2009 02 18    1.3e+06  2.0e+04  4.2e+03   3.3e+10    6.9e+07           100.09
2009 02 19    1.5e+06  2.0e+04  4.4e+03   2.6e+10    5.6e+07           100.00
2009 02 20    1.4e+06  1.9e+04  4.4e+03   1.7e+10    2.7e+07           100.00
2009 02 21    1.7e+06  2.0e+04  4.3e+03   9.3e+09    1.1e+07            99.80
2009 02 22    1.2e+06  1.8e+04  3.9e+03   6.7e+09    6.8e+06            99.60
2009 02 23    1.1e+06  2.0e+04  4.2e+03   4.5e+09    4.2e+06            99.60
2009 02 24    7.3e+05  1.9e+04  4.1e+03   4.1e+09    2.6e+06            99.80
2009 02 25    5.5e+05  1.8e+04  4.2e+03   6.5e+09    4.7e+06           100.13
2009 02 26    8.1e+05  2.0e+04  4.3e+03   7.5e+09    6.8e+06           100.13
2009 02 27    1.3e+06  1.8e+04  4.1e+03   3.0e+09    2.0e+06            99.90
2009 02 28    1.7e+06  1.9e+04  3.9e+03   8.3e+09    2.9e+05           100.18
2009 03 01    1.7e+06  1.8e+04  3.9e+03   7.3e+09    4.4e+05          -999.99
2009 03 02    2.2e+06  1.9e+04  4.1e+03   7.3e+09    5.9e+05          -999.99
2009 03 03    1.7e+06  2.0e+04  4.3e+03   4.7e+09    4.9e+05          -999.99
2009 03 04    9.6e+05  2.0e+04  4.2e+03   3.8e+09    3.7e+05          -999.99
2009 03 05    7.0e+05  2.0e+04  4.2e+03   5.4e+09    9.2e+05          -999.99
2009 03 06    6.1e+05  1.9e+04  4.2e+03   5.1e+09    1.2e+06           100.49
2009 03 07    7.4e+05  1.9e+04  4.4e+03   5.2e+09    1.4e+06           100.85
2009 03 08    1.1e+06  2.0e+04  4.2e+03   3.4e+09    5.8e+05           100.41
2009 03 09    1.1e+06  1.9e+04  4.4e+03   4.8e+09    8.8e+05           100.71
2009 03 10    1.9e+06  2.0e+04  4.7e+03   4.7e+09    1.0e+06           100.68
2009 03 11    1.9e+06  1.9e+04  4.4e+03   3.2e+09    6.6e+05            99.90
2009 03 12    1.9e+06  1.9e+04  4.2e+03   1.4e+09    2.1e+05            99.50
2009 03 13    8.3e+05  1.9e+04  4.1e+03   7.9e+09    1.3e+06            99.40
2009 03 14    1.7e+06  2.0e+04  4.2e+03   3.0e+10    3.1e+07            99.30
