:Product: Daily Particle Data        2010_DPD.txt
:Issued: 1900 UT 07 Jan 2010
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2010 Daily Particle Data
# GOES-11 Jan 01 to Mar 31, then GOES-13 
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2010 01 01    8.7e+05  2.0e+04  4.5e+03   1.0e+08    3.3e+04           100.26
2010 01 02    8.7e+05  2.0e+04  4.2e+03   1.1e+08    4.1e+04            99.10
2010 01 03    7.0e+05  2.1e+04  4.7e+03   3.9e+07    3.3e+04            99.70
2010 01 04    4.7e+05  2.0e+04  4.5e+03   1.9e+07    3.7e+04            99.80
2010 01 05    4.7e+05  2.1e+04  4.6e+03   1.9e+07    3.8e+04           100.10
2010 01 06    4.9e+05  2.1e+04  4.9e+03   2.0e+07    4.0e+04           100.33
2010 01 07    5.6e+05  2.1e+04  5.0e+03   2.4e+07    3.6e+04           100.44
2010 01 08    4.7e+05  2.1e+04  4.8e+03   1.9e+07    4.4e+04           100.46
2010 01 09    5.7e+05  2.0e+04  4.7e+03   2.2e+07    4.5e+04           100.24
2010 01 10    9.3e+05  2.1e+04  4.6e+03   1.4e+07    4.1e+04            99.40
2010 01 11    6.3e+05  1.9e+04  4.4e+03   3.1e+07    3.3e+04            99.50
2010 01 12    5.6e+05  2.0e+04  4.3e+03   2.9e+08    4.0e+04            99.60
2010 01 13    4.1e+05  1.9e+04  4.2e+03   1.1e+09    4.2e+04           100.09
2010 01 14    3.6e+05  2.1e+04  4.3e+03   3.4e+09    4.9e+04           100.11
2010 01 15    7.0e+05  2.0e+04  4.3e+03   4.8e+09    1.9e+05           100.11
2010 01 16    2.7e+06  2.1e+04  4.4e+03   3.5e+09    1.4e+05            99.90
2010 01 17    5.0e+06  2.0e+04  4.3e+03   3.5e+09    2.1e+05           100.10
2010 01 18    6.0e+06  2.1e+04  4.6e+03   2.9e+09    1.6e+05           100.31
2010 01 19    5.1e+06  2.0e+04  4.5e+03   1.9e+09    9.5e+04           100.24
2010 01 20    2.7e+06  2.0e+04  4.3e+03   9.0e+08    6.1e+04            99.00
2010 01 21    2.5e+05  2.0e+04  4.0e+03   4.2e+09    5.6e+04            98.30
2010 01 22    2.1e+05  1.9e+04  3.9e+03   8.1e+09    7.4e+04            98.30
2010 01 23    2.5e+05  1.9e+04  4.2e+03   9.2e+09    5.5e+05            99.30
2010 01 24    1.9e+05  2.0e+04  4.4e+03   7.4e+09    5.7e+05            99.70
2010 01 25    2.8e+05  1.9e+04  4.5e+03   7.0e+09    2.1e+06            99.90
2010 01 26    2.8e+05  1.9e+04  4.3e+03   7.1e+09    2.1e+06           100.05
2010 01 27    3.0e+05  2.0e+04  4.4e+03   6.8e+09    2.3e+06            99.80
2010 01 28    3.0e+05  2.0e+04  4.5e+03   4.9e+09    9.0e+05            99.90
2010 01 29    3.1e+05  2.0e+04  4.3e+03   3.6e+09    4.9e+05           100.16
2010 01 30    3.6e+05  2.0e+04  4.4e+03   2.2e+09    2.3e+05           100.00
2010 01 31    2.7e+05  2.0e+04  4.3e+03   1.9e+09    1.5e+05           100.27
2010 02 01    5.3e+05  2.0e+04  4.4e+03   2.1e+09    2.7e+05            99.30
2010 02 02    5.9e+05  1.9e+04  4.2e+03   1.0e+10    1.5e+06            99.70
2010 02 03    1.2e+06  1.9e+04  4.0e+03   1.8e+10    1.0e+07            99.00
2010 02 04    6.4e+05  2.0e+04  4.2e+03   3.1e+10    2.5e+07            99.90
2010 02 05    6.4e+05  2.0e+04  4.4e+03   2.5e+10    2.2e+07            99.30
2010 02 06    6.4e+05  1.9e+04  4.2e+03   1.4e+10    8.5e+06            99.90
2010 02 07    9.8e+05  2.0e+04  4.2e+03   3.2e+09    1.2e+06            96.40
2010 02 08    6.0e+05  1.8e+04  3.9e+03   4.0e+09    1.3e+06            99.60
