:Product: Daily Particle Data        2011_DPD.txt
:Issued: 1900 UT 03 Jan 2011
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2011 Daily Particle Data
# 
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2011 01 01    5.8e+04  1.4e+04  3.6e+03   8.6e+07    8.2e+05          -999.99
2011 01 02    1.3e+05  1.4e+04  3.6e+03   1.2e+08    8.7e+05          -999.99
2011 01 03    2.0e+05  1.4e+04  3.3e+03   9.4e+07    8.6e+05          -999.99
2011 01 04    1.6e+05  1.4e+04  3.3e+03   7.4e+07    8.4e+05          -999.99
2011 01 05    2.3e+05  1.4e+04  3.4e+03   9.6e+07    8.9e+05          -999.99
2011 01 06    7.6e+05  1.5e+04  3.4e+03   1.2e+08    9.7e+05          -999.99
2011 01 07    1.3e+05  1.3e+04  3.2e+03   4.3e+08    1.0e+06          -999.99
2011 01 08    4.4e+05  1.4e+04  3.2e+03   3.3e+09    4.4e+07          -999.99
2011 01 09    6.0e+05  1.3e+04  3.3e+03   5.2e+09    1.5e+08          -999.99
2011 01 10    4.8e+05  1.4e+04  3.5e+03   3.3e+09    8.0e+07          -999.99
2011 01 11    3.8e+05  1.4e+04  3.4e+03   4.0e+09    1.1e+08          -999.99
2011 01 12    9.1e+05  1.4e+04  3.3e+03   3.7e+09    1.4e+08          -999.99
2011 01 13    7.9e+05  1.4e+04  3.4e+03   2.4e+09    8.2e+07          -999.99
2011 01 14    3.8e+05  1.3e+04  3.1e+03   1.5e+09    1.9e+07          -999.99
2011 01 15    2.7e+05  1.4e+04  3.3e+03   2.6e+09    3.2e+07          -999.99
2011 01 16    6.8e+05  1.4e+04  3.5e+03   2.4e+09    4.6e+07          -999.99
2011 01 17    5.2e+05  1.4e+04  3.3e+03   1.4e+09    2.2e+07          -999.99
2011 01 18    8.7e+05  1.4e+04  3.5e+03   1.5e+09    3.3e+07          -999.99
2011 01 19    6.2e+05  1.4e+04  3.4e+03   1.1e+09    1.4e+07          -999.99
2011 01 20    2.8e+05  1.4e+04  3.6e+03   1.7e+09    1.8e+07          -999.99
2011 01 21    4.5e+05  1.4e+04  3.4e+03   1.7e+09    2.0e+07          -999.99
2011 01 22    3.8e+05  1.4e+04  3.5e+03   1.1e+09    1.4e+07          -999.99
2011 01 23    2.9e+05  1.4e+04  3.5e+03   1.0e+09    1.6e+07          -999.99
2011 01 24    8.1e+05  1.4e+04  3.4e+03   7.3e+08    1.7e+07          -999.99
2011 01 25    2.5e+05  1.4e+04  3.4e+03   2.6e+08    4.0e+06          -999.99
2011 01 26    3.0e+05  1.4e+04  3.2e+03   2.8e+08    4.1e+06          -999.99
2011 01 27    2.2e+05  1.5e+04  3.7e+03   1.9e+08    2.9e+06          -999.99
2011 01 28    1.8e+06  1.0e+05  4.8e+03   1.7e+08    3.1e+06          -999.99
