:Product: Daily Particle Data        2012_DPD.txt
:Issued: 1900 UTC 02 Jan 2013
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               2012 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2012 01 01    2.4e+05  1.3e+04  3.3e+03   6.4e+07    7.0e+05          -999.99
2012 01 02    4.2e+05  1.8e+04  3.0e+03   1.2e+08    7.3e+05          -999.99
2012 01 03    7.2e+05  2.9e+04  2.9e+03   2.8e+08    8.7e+05          -999.99
2012 01 04    1.6e+05  1.3e+04  2.9e+03   5.8e+08    1.4e+06          -999.99
2012 01 05    2.4e+05  1.3e+04  3.0e+03   5.4e+08    1.7e+06          -999.99
2012 01 06    2.7e+05  1.3e+04  3.5e+03   3.5e+08    1.3e+06          -999.99
2012 01 07    1.2e+05  1.3e+04  3.3e+03   4.3e+08    1.6e+06          -999.99
2012 01 08    1.4e+05  1.3e+04  3.2e+03   1.3e+09    5.8e+06          -999.99
2012 01 09    1.9e+05  1.3e+04  3.1e+03   6.9e+08    3.6e+06          -999.99
2012 01 10    2.8e+05  1.3e+04  3.1e+03   8.9e+08    5.1e+06          -999.99
2012 01 11    1.5e+05  1.3e+04  3.1e+03   1.2e+09    7.4e+06          -999.99
2012 01 12    6.8e+05  1.3e+04  3.2e+03   1.4e+09    1.3e+07          -999.99
2012 01 13    4.3e+05  1.3e+04  3.2e+03   6.2e+08    3.8e+06          -999.99
2012 01 14    2.8e+05  1.2e+04  3.1e+03   5.7e+08    3.4e+06          -999.99
2012 01 15    6.0e+05  1.3e+04  3.3e+03   5.0e+08    3.9e+06          -999.99
2012 01 16    6.1e+05  1.3e+04  3.0e+03   1.6e+08    1.3e+06          -999.99
2012 01 17    2.3e+05  1.4e+04  3.2e+03   2.8e+08    9.7e+05          -999.99
2012 01 18    2.7e+05  1.4e+04  3.3e+03   6.7e+08    1.4e+06          -999.99
2012 01 19    3.4e+05  1.4e+04  3.2e+03   8.4e+08    1.9e+06          -999.99
2012 01 20    2.2e+06  6.9e+04  3.0e+03   6.3e+08    1.8e+06          -999.99
2012 01 21    5.6e+06  8.0e+04  3.0e+03   3.9e+08    1.8e+06          -999.99
2012 01 22    1.5e+07  9.8e+04  2.8e+03   1.1e+08    1.2e+06          -999.99
2012 01 23    2.7e+08  1.4e+08  9.1e+04   2.9e+08    1.4e+07          -999.99
2012 01 24    1.1e+09  2.1e+08  2.1e+04   5.3e+08    2.5e+08          -999.99
2012 01 25    2.6e+08  2.6e+07  2.7e+03   5.2e+08    5.3e+07          -999.99
2012 01 26    3.7e+07  4.3e+06  3.4e+03   1.8e+09    1.6e+07          -999.99
2012 01 27    1.6e+07  4.7e+06  1.6e+05   3.9e+09    5.5e+07          -999.99
2012 01 28    1.1e+08  4.8e+07  2.8e+05   3.4e+09    7.1e+07          -999.99
2012 01 29    5.4e+07  1.0e+07  2.1e+04   1.8e+09    3.6e+07          -999.99
2012 01 30    2.1e+07  3.4e+06  5.1e+03   1.9e+09    3.8e+07          -999.99
2012 01 31    6.2e+06  7.8e+05  3.4e+03   3.0e+08    3.6e+06          -999.99
2012 02 01    1.8e+06  2.0e+05  2.6e+03   2.7e+08    3.3e+06          -999.99
2012 02 02    6.8e+05  8.6e+04  3.5e+03   2.6e+08    3.1e+06          -999.99
2012 02 03    4.1e+05  3.7e+04  3.8e+03   4.6e+08    4.8e+06          -999.99
2012 02 04    2.4e+05  2.2e+04  3.6e+03   4.5e+08    4.5e+06          -999.99
2012 02 05    2.6e+05  2.0e+04  3.2e+03   1.7e+09    1.5e+07          -999.99
2012 02 06    3.8e+05  1.8e+04  3.1e+03   1.6e+09    1.6e+07          -999.99
2012 02 07    3.5e+05  1.4e+04  2.8e+03   6.5e+08    7.0e+06          -999.99
2012 02 08    1.6e+05  1.3e+04  3.1e+03   2.4e+09    3.3e+07          -999.99
2012 02 09    3.4e+05  1.4e+04  3.1e+03   3.5e+09    8.6e+07          -999.99
2012 02 10    1.3e+05  1.3e+04  3.0e+03   9.4e+08    1.2e+07          -999.99
2012 02 11    1.4e+05  1.4e+04  3.1e+03   9.8e+08    1.1e+07          -999.99
2012 02 12    2.1e+05  1.3e+04  2.9e+03   9.1e+08    1.3e+07          -999.99
2012 02 13    2.9e+05  1.2e+04  3.0e+03   4.3e+08    4.4e+06          -999.99
2012 02 14    2.2e+05  1.2e+04  2.9e+03   2.3e+08    1.8e+06          -999.99
2012 02 15    1.7e+05  1.2e+04  2.7e+03   4.3e+08    3.4e+06          -999.99
2012 02 16    1.8e+05  1.2e+04  3.2e+03   1.3e+09    1.3e+07          -999.99
2012 02 17    9.7e+04  1.3e+04  3.0e+03   1.7e+09    2.7e+07          -999.99
2012 02 18    1.2e+05  1.2e+04  3.1e+03   2.1e+09    3.8e+07          -999.99
2012 02 19    1.0e+05  1.2e+04  2.9e+03   2.8e+08    1.6e+06          -999.99
2012 02 20    4.0e+05  1.2e+04  2.9e+03   1.6e+09    2.1e+07          -999.99
2012 02 21    2.0e+05  1.2e+04  3.2e+03   3.8e+09    1.2e+08          -999.99
2012 02 22    3.0e+05  1.3e+04  3.3e+03   1.7e+09    3.9e+07          -999.99
2012 02 23    2.0e+05  1.3e+04  3.2e+03   1.1e+09    3.2e+07          -999.99
2012 02 24    3.0e+05  1.3e+04  3.1e+03   1.1e+09    3.4e+07          -999.99
2012 02 25    1.3e+07  1.3e+05  3.0e+03   9.3e+08    3.1e+07          -999.99
2012 02 26    7.0e+07  2.3e+05  3.0e+03   1.1e+09    3.2e+07          -999.99
2012 02 27    6.0e+07  4.9e+04  2.5e+03   2.8e+08    5.1e+06          -999.99
2012 02 28    4.4e+06  1.4e+04  2.8e+03   6.1e+08    2.0e+06          -999.99
2012 02 29    1.1e+06  1.2e+04  3.0e+03   1.2e+09    3.6e+06          -999.99
2012 03 01    7.4e+05  1.2e+04  3.0e+03   7.7e+08    4.0e+06          -999.99
2012 03 02    2.9e+05  1.2e+04  3.2e+03   2.0e+09    4.4e+07          -999.99
2012 03 03    2.1e+05  1.3e+04  3.0e+03   2.2e+09    7.0e+07          -999.99
2012 03 04    4.7e+05  1.4e+04  3.0e+03   1.2e+09    3.3e+07          -999.99
2012 03 05    2.4e+06  1.9e+05  3.3e+03   2.0e+09    5.8e+07          -999.99
2012 03 06    5.1e+06  2.3e+05  3.2e+03   1.0e+09    2.3e+07          -999.99
2012 03 07    2.0e+08  6.1e+07  2.2e+06   4.4e+08    2.9e+07          -999.99
2012 03 08    1.5e+09  2.0e+08  2.5e+06   4.6e+08    1.9e+08          -999.99
2012 03 09    2.8e+08  3.7e+07  5.9e+05   6.5e+08    1.4e+07          -999.99
2012 03 10    6.6e+07  1.4e+07  1.1e+05   5.2e+09    2.5e+08          -999.99
2012 03 11    4.1e+07  6.8e+06  1.2e+04   6.6e+09    5.9e+08          -999.99
2012 03 12    6.1e+07  2.4e+06  2.5e+03   6.8e+08    2.2e+07          -999.99
