:Product: Daily Particle Data        2013_DPD.txt
:Issued: 0223 UT 07 Jan 2014
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2013 01 01    1.1e+05  1.2e+04  2.7e+03   5.4e+07    1.2e+06          -999.99
2013 01 02    2.0e+05  1.1e+04  2.8e+03   4.4e+07    1.3e+06          -999.99
2013 01 03    2.8e+05  1.1e+04  2.6e+03   2.2e+07    9.9e+05          -999.99
2013 01 04    2.1e+05  1.2e+04  2.8e+03   2.1e+07    1.0e+06          -999.99
2013 01 05    1.9e+05  1.1e+04  2.8e+03   2.1e+07    1.0e+06          -999.99
2013 01 06    3.9e+05  1.1e+04  2.7e+03   1.8e+07    1.1e+06          -999.99
2013 01 07    2.5e+05  1.1e+04  2.7e+03   1.1e+07    8.2e+05          -999.99
2013 01 08    2.6e+05  1.1e+04  2.8e+03   1.1e+07    9.3e+05          -999.99
2013 01 09    1.4e+05  1.1e+04  3.0e+03   7.1e+06    8.4e+05          -999.99
2013 01 10    1.4e+05  1.2e+04  2.8e+03   8.4e+06    9.5e+05          -999.99
2013 01 11    2.4e+05  1.1e+04  2.7e+03   9.3e+06    1.1e+06          -999.99
2013 01 12    2.3e+05  1.2e+04  2.8e+03   3.7e+06    6.6e+05          -999.99
2013 01 13    3.2e+05  1.1e+04  2.8e+03   2.2e+07    7.8e+05          -999.99
2013 01 14    3.3e+05  1.2e+04  2.8e+03   1.2e+09    3.3e+06          -999.99
2013 01 15    2.7e+05  1.1e+04  2.8e+03   3.0e+09    1.9e+07          -999.99
2013 01 16    5.4e+05  1.1e+04  2.7e+03   3.2e+09    2.6e+07          -999.99
2013 01 17    7.2e+06  6.2e+04  2.6e+03   1.0e+09    1.3e+07          -999.99
2013 01 18    8.4e+06  1.9e+04  2.6e+03   2.8e+09    3.9e+07          -999.99
2013 01 19    3.3e+06  1.1e+04  2.7e+03   5.3e+08    3.2e+06          -999.99
2013 01 20    3.0e+05  1.2e+04  2.8e+03   9.8e+08    6.8e+06          -999.99
2013 01 21    1.1e+05  1.1e+04  3.0e+03   1.6e+09    1.2e+07          -999.99
2013 01 22    1.0e+05  1.2e+04  3.0e+03   1.9e+09    1.6e+07          -999.99
2013 01 23    1.3e+05  1.2e+04  3.0e+03   1.8e+09    1.9e+07          -999.99
2013 01 24    1.5e+05  1.2e+04  2.9e+03   1.3e+09    9.6e+06          -999.99
2013 01 25    7.0e+05  1.2e+04  2.8e+03   1.1e+09    1.1e+07          -999.99
2013 01 26    3.3e+05  1.1e+04  2.7e+03   7.2e+07    8.1e+05          -999.99
2013 01 27    1.2e+05  1.1e+04  2.6e+03   1.1e+09    2.0e+06          -999.99
2013 01 28    1.4e+05  1.2e+04  2.8e+03   1.8e+09    4.4e+06          -999.99
2013 01 29    8.9e+04  1.1e+04  2.8e+03   2.2e+09    6.8e+06          -999.99
2013 01 30    9.5e+04  1.2e+04  2.9e+03   2.2e+09    9.3e+06          -999.99
2013 01 31    3.0e+05  1.1e+04  2.8e+03   2.2e+09    1.6e+07          -999.99
2013 02 01    3.6e+05  1.1e+04  2.8e+03   6.4e+08    2.1e+06          -999.99
2013 02 02    3.4e+05  1.2e+04  2.7e+03   6.3e+08    3.1e+06          -999.99
2013 02 03    8.1e+05  1.2e+04  2.8e+03   1.8e+09    1.5e+07          -999.99
2013 02 04    5.8e+05  1.1e+04  2.7e+03   1.0e+09    7.3e+06          -999.99
2013 02 05    4.5e+05  1.2e+04  2.7e+03   6.5e+08    5.5e+06          -999.99
2013 02 06    5.0e+05  1.1e+04  2.7e+03   6.0e+08    5.5e+06          -999.99
2013 02 07    3.4e+05  2.0e+04  2.9e+03   8.6e+07    9.2e+05          -999.99
2013 02 08    2.3e+06  2.2e+04  2.7e+03   1.1e+08    9.2e+05          -999.99
2013 02 09    1.5e+06  1.5e+04  2.9e+03   4.8e+08    1.1e+06          -999.99
2013 02 10    1.1e+06  1.3e+04  2.8e+03   4.7e+08    1.3e+06          -999.99
2013 02 11    5.1e+05  1.2e+04  2.9e+03   4.8e+08    1.8e+06          -999.99
2013 02 12    2.0e+05  1.2e+04  2.9e+03   3.3e+08    1.1e+06          -999.99
2013 02 13    2.2e+05  1.2e+04  2.8e+03   1.0e+08    9.1e+05          -999.99
2013 02 14    2.3e+05  1.2e+04  2.7e+03   6.3e+08    1.8e+06          -999.99
2013 02 15    1.8e+05  1.2e+04  2.9e+03   1.2e+09    4.3e+06          -999.99
2013 02 16    2.6e+05  1.1e+04  2.8e+03   1.0e+09    5.9e+06          -999.99
2013 02 17    2.5e+05  1.1e+04  2.7e+03   1.4e+08    8.7e+05          -999.99
2013 02 18    5.1e+04  1.2e+04  3.0e+03   3.6e+07    6.3e+05          -999.99
2013 02 19    7.7e+04  1.2e+04  2.8e+03   9.7e+07    6.7e+05          -999.99
2013 02 20    7.2e+04  1.1e+04  2.8e+03   7.1e+07    6.9e+05          -999.99
2013 02 21    7.3e+04  1.1e+04  3.0e+03   1.6e+08    7.4e+05          -999.99
2013 02 22    1.8e+05  1.2e+04  2.8e+03   4.3e+08    1.4e+06          -999.99
2013 02 23    6.2e+04  1.1e+04  2.8e+03   3.8e+08    2.0e+06          -999.99
2013 02 24    6.8e+04  1.2e+04  2.9e+03   9.0e+08    4.7e+06          -999.99
2013 02 25    2.0e+05  1.1e+04  2.7e+03   1.1e+09    9.8e+06          -999.99
2013 02 26    1.4e+05  1.3e+04  2.9e+03   4.6e+08    2.1e+06          -999.99
2013 02 27    7.1e+05  3.5e+04  3.1e+03   2.2e+08    1.5e+06          -999.99
2013 02 28    1.0e+06  2.4e+04  2.8e+03   1.2e+08    8.4e+05          -999.99
2013 03 01    7.7e+05  1.1e+04  2.7e+03   2.9e+08    1.0e+06          -999.99
2013 03 02    5.0e+05  1.2e+04  2.8e+03   3.9e+09    9.9e+07          -999.99
2013 03 03    2.5e+05  1.1e+04  2.7e+03   5.4e+09    2.2e+08          -999.99
2013 03 04    1.8e+05  1.1e+04  2.8e+03   5.2e+09    2.7e+08          -999.99
2013 03 05    2.1e+05  1.2e+04  3.2e+03   5.4e+09    3.5e+08          -999.99
2013 03 06    5.2e+05  1.8e+04  3.6e+03   3.6e+09    2.3e+08          -999.99
2013 03 07    5.7e+05  2.0e+04  2.9e+03   2.6e+09    1.3e+08          -999.99
2013 03 08    4.3e+05  1.9e+04  2.9e+03   1.7e+09    5.9e+07          -999.99
2013 03 09    5.2e+05  1.9e+04  2.8e+03   9.8e+08    2.2e+07          -999.99
2013 03 10    6.0e+05  2.0e+04  3.0e+03   7.7e+08    1.8e+07          -999.99
2013 03 11    5.4e+05  1.6e+04  2.7e+03   3.1e+08    3.0e+06          -999.99
2013 03 12    6.9e+05  1.6e+04  2.8e+03   2.8e+08    4.1e+06          -999.99
2013 03 13    4.6e+05  1.4e+04  2.7e+03   2.3e+08    4.7e+06          -999.99
2013 03 14    5.2e+05  1.3e+04  2.6e+03   2.6e+08    7.8e+06          -999.99
2013 03 15    4.7e+05  2.4e+04  2.6e+03   6.9e+07    1.7e+06          -999.99
2013 03 16    1.2e+07  5.4e+05  3.1e+03   2.5e+08    3.6e+06          -999.99
2013 03 17    1.1e+08  5.4e+05  2.4e+03   2.6e+08    3.7e+06          -999.99
2013 03 18    8.2e+06  3.3e+04  2.3e+03   8.9e+08    1.4e+07          -999.99
2013 03 19    3.0e+06  1.1e+04  2.4e+03   1.2e+09    2.8e+07          -999.99
2013 03 20    1.4e+06  1.1e+04  2.8e+03   2.3e+09    5.0e+07          -999.99
2013 03 21    6.9e+05  1.1e+04  2.7e+03   2.7e+09    8.4e+07          -999.99
2013 03 22    1.3e+06  1.1e+04  2.7e+03   3.5e+09    1.8e+08          -999.99
2013 03 23    1.2e+06  1.1e+04  2.7e+03   2.2e+09    8.8e+07          -999.99
2013 03 24    4.9e+05  1.1e+04  2.8e+03   9.6e+08    3.1e+07          -999.99
2013 03 25    8.3e+05  1.1e+04  2.8e+03   1.4e+09    7.3e+07          -999.99
2013 03 26    7.8e+05  1.1e+04  2.7e+03   1.3e+09    8.1e+07          -999.99
2013 03 27    1.6e+06  1.1e+04  2.8e+03   4.6e+08    1.0e+07          -999.99
2013 03 28    4.2e+05  1.1e+04  3.0e+03   2.6e+09    3.9e+07          -999.99
2013 03 29    4.2e+05  1.2e+04  2.7e+03   6.8e+08    9.7e+06          -999.99
2013 03 30    5.0e+05  1.1e+04  2.6e+03   2.9e+09    7.0e+07          -999.99
2013 03 31    5.0e+05  1.1e+04  2.7e+03   5.1e+09    1.7e+08          -999.99
2013 04 01    3.0e+05  1.2e+04  2.8e+03   4.6e+09    1.6e+08          -999.99
2013 04 02    3.2e+05  1.2e+04  2.9e+03   5.1e+09    2.5e+08          -999.99
2013 04 03    4.0e+05  1.2e+04  3.0e+03   4.6e+09    2.2e+08          -999.99
2013 04 04    2.2e+05  1.1e+04  2.8e+03   3.1e+09    1.1e+08          -999.99
2013 04 05    3.0e+05  1.2e+04  2.9e+03   2.2e+09    8.9e+07          -999.99
2013 04 06    3.5e+05  1.1e+04  2.7e+03   1.4e+09    2.7e+07          -999.99
2013 04 07    3.2e+05  1.1e+04  2.7e+03   8.2e+08    1.7e+07          -999.99
2013 04 08    1.8e+05  1.1e+04  2.7e+03   4.8e+08    1.4e+07          -999.99
2013 04 09    1.6e+05  1.1e+04  2.9e+03   5.9e+08    1.8e+07          -999.99
2013 04 10    4.4e+05  1.1e+04  2.7e+03   5.2e+08    2.3e+07          -999.99
2013 04 11    1.1e+07  3.2e+06  7.0e+04   3.8e+08    1.6e+07          -999.99
2013 04 12    2.1e+07  1.9e+06  1.6e+04   3.1e+08    1.5e+07          -999.99
2013 04 13    1.0e+07  4.5e+05  3.3e+03   2.8e+08    1.5e+07          -999.99
2013 04 14    3.1e+06  1.2e+05  2.8e+03   4.7e+07    2.5e+06          -999.99
2013 04 15    3.2e+05  3.3e+04  2.4e+03   5.6e+07    1.6e+06          -999.99
