:Product: Daily Particle Data        2014_DPD.txt
:Issued: 1500 UT 30 Jan 2015
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                         2014 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2014 01 01    4.8e+05  1.2e+04  2.2e+03   3.5e+07    5.5e+05          -999.99
2014 01 02    7.0e+05  1.0e+04  2.3e+03   1.8e+09    2.3e+07          -999.99
2014 01 03    3.4e+05  1.1e+04  2.3e+03   2.7e+09    3.5e+07          -999.99
2014 01 04    6.6e+05  1.0e+04  2.5e+03   1.8e+09    3.7e+07          -999.99
2014 01 05    2.1e+06  3.4e+04  2.6e+03   1.9e+09    3.8e+07          -999.99
2014 01 06    5.4e+06  1.8e+06  9.4e+04   1.9e+09    3.9e+07          -999.99
2014 01 07    2.1e+07  2.6e+06  6.1e+04   1.6e+09    4.1e+07          -999.99
2014 01 08    1.4e+08  6.9e+07  1.2e+05   4.3e+08    1.7e+07          -999.99
2014 01 09    3.7e+08  4.0e+07  9.2e+03   7.0e+08    9.9e+07          -999.99
2014 01 10    9.3e+07  6.1e+06  2.1e+03   6.8e+08    2.3e+07          -999.99
2014 01 11    2.8e+07  1.3e+06  2.6e+03   6.4e+08    1.1e+07          -999.99
2014 01 12    1.4e+07  6.1e+05  2.6e+03   5.8e+08    8.2e+06          -999.99
2014 01 13    4.3e+06  1.6e+05  2.4e+03   9.3e+08    8.2e+06          -999.99
2014 01 14    2.7e+06  3.4e+04  2.7e+03   1.1e+09    7.9e+06          -999.99
2014 01 15    3.9e+05  1.4e+04  2.5e+03   2.2e+09    1.2e+07          -999.99
2014 01 16    5.4e+05  1.3e+04  2.5e+03   2.5e+09    1.9e+07          -999.99
2014 01 17    8.7e+05  1.2e+04  2.5e+03   2.2e+09    1.8e+07          -999.99
2014 01 18    6.6e+05  1.1e+04  2.6e+03   1.9e+09    1.5e+07          -999.99
2014 01 19    7.2e+05  1.1e+04  2.5e+03   1.6e+09    1.5e+07          -999.99
2014 01 20    1.0e+06  1.1e+04  2.6e+03   1.2e+09    1.1e+07          -999.99
2014 01 21    1.6e+06  1.2e+04  2.6e+03   2.9e+08    2.9e+06          -999.99
2014 01 22    4.0e+05  1.1e+04  2.2e+03   4.0e+08    1.6e+06          -999.99
2014 01 23    1.8e+05  1.1e+04  2.4e+03   1.0e+09    2.5e+06          -999.99
2014 01 24    2.6e+05  1.1e+04  2.6e+03   1.1e+09    4.3e+06          -999.99
2014 01 25    1.3e+05  1.0e+04  2.3e+03   3.1e+08    1.5e+06          -999.99
2014 01 26    1.6e+05  1.0e+04  2.5e+03   3.5e+08    1.8e+06          -999.99
2014 01 27    2.6e+05  9.8e+03  2.3e+03   2.7e+08    1.5e+06          -999.99
2014 01 28    1.1e+05  9.6e+03  2.3e+03   2.4e+08    1.2e+06          -999.99
2014 01 29    9.0e+04  1.1e+04  2.7e+03   5.2e+08    1.4e+06          -999.99
2014 01 30    1.3e+05  1.1e+04  3.0e+03   5.8e+08    1.3e+06          -999.99
2014 01 31    3.4e+05  1.1e+04  2.7e+03   4.7e+08    1.4e+06          -999.99
2014 02 01    3.2e+05  1.1e+04  2.5e+03   1.9e+08    4.7e+05          -999.99
2014 02 02    4.4e+05  1.0e+04  2.4e+03   1.3e+08    2.8e+05          -999.99
2014 02 03    4.5e+05  1.0e+04  2.2e+03   8.9e+07    1.2e+05          -999.99
2014 02 04    5.1e+05  1.0e+04  2.5e+03   8.4e+07    1.4e+05          -999.99
2014 02 05    1.8e+05  1.0e+04  2.4e+03   1.3e+08    8.8e+04          -999.99
2014 02 06    2.1e+05  1.0e+04  2.5e+03   5.0e+08    3.8e+05          -999.99
2014 02 07    3.5e+05  9.8e+03  2.3e+03   9.6e+07    6.5e+04          -999.99
2014 02 08    4.6e+05  1.0e+04  2.5e+03   1.4e+09    1.2e+07          -999.99
2014 02 09    1.4e+05  1.0e+04  2.6e+03   2.6e+09    3.6e+07          -999.99
2014 02 10    1.6e+05  1.0e+04  2.5e+03   2.5e+09    3.9e+07          -999.99
2014 02 11    1.5e+05  1.1e+04  2.3e+03   1.8e+09    2.8e+07          -999.99
2014 02 12    2.8e+05  1.1e+04  2.5e+03   3.2e+09    7.6e+07          -999.99
2014 02 13    4.5e+05  1.2e+04  2.6e+03   2.7e+09    5.8e+07          -999.99
2014 02 14    2.6e+06  1.2e+04  2.4e+03   1.9e+09    4.1e+07          -999.99
2014 02 15    3.9e+05  9.3e+03  2.1e+03   6.5e+07    1.3e+05          -999.99
2014 02 16    1.3e+05  1.0e+04  2.5e+03   2.0e+08    2.0e+05          -999.99
2014 02 17    1.6e+06  2.5e+04  2.5e+03   4.1e+08    4.7e+05          -999.99
2014 02 18    1.7e+07  9.0e+04  2.6e+03   3.6e+08    1.0e+06          -999.99
2014 02 19    3.0e+07  3.3e+05  4.8e+03   3.6e+08    2.1e+06          -999.99
2014 02 20    1.7e+06  2.2e+04  2.2e+03   2.6e+09    4.1e+07          -999.99
2014 02 21    4.7e+05  1.2e+04  2.3e+03   2.2e+09    5.8e+07          -999.99
2014 02 22    5.4e+05  1.0e+04  2.5e+03   1.8e+09    5.1e+07          -999.99
2014 02 23    1.1e+05  1.0e+04  2.4e+03   2.4e+08    4.9e+06          -999.99
2014 02 24    1.2e+06  6.9e+05  4.7e+04   4.3e+08    6.4e+06          -999.99
2014 02 25    3.7e+06  1.7e+06  4.2e+04   7.0e+08    1.4e+07          -999.99
2014 02 26    2.2e+07  2.7e+06  2.0e+04   3.0e+08    1.0e+07          -999.99
2014 02 27    9.4e+07  6.4e+06  7.9e+03   1.4e+08    1.4e+07          -999.99
2014 02 28    7.0e+07  4.1e+06  2.2e+03   2.9e+08    1.1e+07          -999.99
2014 03 01    2.6e+07  1.5e+06  2.5e+03   1.1e+09    7.2e+06          -999.99
2014 03 02    1.7e+07  5.8e+05  2.5e+03   7.1e+08    3.6e+06          -999.99
2014 03 03    7.1e+06  2.3e+05  2.3e+03   7.5e+08    3.2e+06          -999.99
2014 03 04    2.2e+06  8.2e+04  2.4e+03   8.5e+08    4.4e+06          -999.99
2014 03 05    1.3e+06  3.7e+04  2.4e+03   9.2e+08    4.5e+06          -999.99
2014 03 06    1.4e+06  2.2e+04  2.5e+03   1.3e+09    6.6e+06          -999.99
2014 03 07    1.3e+06  1.8e+04  2.5e+03   1.1e+09    6.1e+06          -999.99
2014 03 08    1.3e+06  1.5e+04  2.7e+03   1.1e+09    6.5e+06          -999.99
2014 03 09    9.7e+05  1.2e+04  2.4e+03   6.6e+08    3.8e+06          -999.99
2014 03 10    7.6e+05  1.2e+04  2.6e+03   4.8e+08    2.6e+06          -999.99
2014 03 11    4.7e+05  1.1e+04  2.4e+03   3.0e+08    1.1e+06          -999.99
2014 03 12    9.5e+04  1.0e+04  2.2e+03   6.7e+07    2.7e+04          -999.99
2014 03 13    6.1e+04  1.0e+04  2.3e+03   2.2e+08    3.9e+04          -999.99
2014 03 14    5.3e+04  1.0e+04  2.4e+03   3.2e+08    8.5e+04          -999.99
2014 03 15    5.5e+04  1.0e+04  2.3e+03   3.1e+08    1.5e+05          -999.99
2014 03 16    1.1e+05  1.0e+04  2.5e+03   3.1e+08    2.4e+05          -999.99
2014 03 17    4.0e+04  1.0e+04  2.4e+03   1.0e+08    4.9e+04          -999.99
2014 03 18    3.7e+04  1.0e+04  2.4e+03   5.3e+07    3.5e+04          -999.99
2014 03 19    7.9e+04  9.9e+03  2.4e+03   7.4e+07    5.7e+04          -999.99
2014 03 20    1.0e+05  1.0e+04  2.4e+03   7.2e+07    3.5e+04          -999.99
2014 03 21    1.6e+05  1.0e+04  2.3e+03   1.5e+08    6.2e+04          -999.99
2014 03 22    1.1e+05  9.9e+03  2.4e+03   1.5e+08    6.1e+04          -999.99
2014 03 23    2.2e+05  1.2e+04  2.4e+03   2.0e+08    1.2e+05          -999.99
2014 03 24    8.4e+06  3.7e+04  2.3e+03   1.5e+08    2.2e+05          -999.99
2014 03 25    6.9e+06  2.0e+04  2.2e+03   6.1e+07    5.6e+04          -999.99
2014 03 26    1.1e+06  1.1e+04  2.4e+03   1.4e+08    3.5e+04          -999.99
2014 03 27    2.1e+05  9.9e+03  2.3e+03   2.4e+08    9.9e+04          -999.99
2014 03 28    2.4e+05  3.7e+04  2.8e+03   5.7e+08    1.0e+06          -999.99
2014 03 29    2.8e+05  3.4e+04  2.8e+03   3.5e+08    9.0e+05          -999.99
2014 03 30    2.3e+05  1.4e+04  2.4e+03   2.9e+08    7.2e+05          -999.99
2014 04 01    1.3e+05  1.0e+04  2.5e+03   1.2e+08    1.2e+05          -999.99
